CH-53E,T64-GE-416A,Level HPA (90% Q-BPA),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,104.5,104.5,108,108.2,103.9,103.9,116.4,116.6
250,103.1,103.1,106.5,106.7,101.9,101.9,114.3,114.5
315,101.6,98.9,105,102.3,99.8,97.1,112.2,109.5
400,100.1,95.2,103.5,99.5,97.7,92.8,110.1,106.1
500,98.6,92.7,101.9,97.1,95.6,89.7,107.9,103
630,97.1,90.3,100.3,94.5,93.5,86.7,105.7,99.9
800,95.5,88.1,98.6,91.9,91.3,83.9,103.4,96.6
1000,93.9,86,96.9,89.3,89.1,81.2,101.1,93.4
1250,92.3,83.9,95.1,86.7,86.9,78.5,98.7,90.2
1600,90.6,82,93.3,84.4,84.6,76,96.3,87.3
2000,88.8,80.2,91.4,82.1,82.2,73.5,93.8,84.5
2500,87,78.3,89.4,79.8,79.8,71.1,91.2,81.5
3150,85,76.4,87.4,77.5,77.2,68.6,88.5,78.6
4000,83,74.6,85,75,74.6,66.2,85.6,75.6
5000,80.9,72.5,82.5,72.3,71.9,63.5,82.6,72.4
6300,78.6,70.2,79.9,69.7,69,60.6,79.4,69.2
8000,76.2,67.7,77.2,66.9,66,57.5,76.1,65.9
10000,73.6,64.9,74.2,63.8,62.8,54.1,72.5,62.1
12500,70.8,61.3,71.1,60,59.4,49.9,68.9,57.8
16000,67.8,57.3,67.7,55.7,55.8,45.3,64.9,52.9
20000,64.5,53,64,50.5,51.9,40.4,60.6,47.1
25000,60.9,48.7,59.8,44.3,47.7,35.5,55.8,40.2
