E-2C,T56-A-427,Approach (1350 ISHP),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,94.7,94.7,101.9,102.4,92.9,92.9,110.1,110.7
250,93.3,93.3,100.4,100.9,90.8,90.8,108,108.6
315,91.8,90.1,98.8,98.1,88.7,87.1,105.9,105.1
400,90.3,87.1,97.2,94.9,86.6,83.5,103.7,101.4
500,88.7,84.6,95.6,92.4,84.5,80.4,101.4,98.2
630,87.2,82.1,93.9,89.6,82.4,77.2,99.2,94.9
800,85.6,79.5,92.2,87.4,80.2,74.1,96.8,92
1000,84,77.1,90.4,85.1,78,71,94.5,89.2
1250,82.4,74.7,88.6,82.8,75.8,68,92,86.3
1600,80.8,72.5,86.7,80.6,73.5,65.3,89.6,83.5
2000,79.1,70.5,84.8,78.4,71.2,62.6,87,80.6
2500,77.4,68.4,82.8,76,68.9,60,84.5,77.6
3150,75.6,66.4,80.8,73.3,66.6,57.3,81.8,74.4
4000,73.8,64.1,78.2,69.8,64.2,54.5,78.6,70.2
5000,72,61.5,75.5,65.7,61.7,51.3,75.4,65.5
6300,70,58.9,72.7,61.5,59.2,48.1,72,60.8
8000,68,56.5,69.8,58.1,56.6,45.1,68.5,56.9
10000,65.9,54,66.8,54.7,53.9,41.9,64.9,52.8
12500,63.7,51.2,64,51.2,51.1,38.6,61.5,48.8
16000,61.4,48.5,61.1,46.9,48.1,35.3,58,43.8
20000,58.8,46,57.8,41.5,45,32.2,54.2,37.8
25000,56,43.6,54.2,35.8,41.6,29.2,50,31.5
