EA-6B,J52-P-408,Approach (85% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,126.4,126.4,132.3,131.7,124.4,124.4,140.3,139.7
250,124.7,124.7,130.6,130,122.1,122.1,138,137.4
315,123,122,128.8,127.1,119.8,118.8,135.6,133.9
400,121.3,119.3,126.9,124,117.5,115.5,133.2,130.2
500,119.5,116.8,125,121.5,115.1,112.4,130.6,127.1
630,117.6,114.2,122.8,118.8,112.6,109.2,127.8,123.8
800,115.6,111.5,120.4,115.9,110,105.9,124.9,120.3
1000,113.6,108.8,117.9,112.9,107.4,102.6,121.7,116.7
1250,111.6,106,115.5,109.7,104.8,99.2,118.7,112.9
1600,109.5,103.5,113.2,106.7,102.1,96.2,115.9,109.4
2000,107.4,101.1,110.9,103.7,99.4,93.1,112.9,105.7
2500,105.2,98.7,108.5,100.7,96.7,90.1,110,102.1
3150,103,96.4,106.1,97.8,93.8,87.2,107,98.6
4000,100.7,94.1,103.4,94.8,90.9,84.3,103.6,95
5000,98.3,91.6,100.6,91.4,87.9,81.2,100.2,91
6300,95.8,88.9,97.7,87.8,84.8,77.9,96.7,86.8
8000,93.2,85.8,94.7,83.9,81.6,74.2,93.1,82.2
10000,90.4,82.4,91.6,80.4,78.2,70.2,89.3,78.1
12500,87.4,78.2,88.6,76.4,74.6,65.4,85.7,73.5
16000,84.1,73.4,85.3,72.1,70.8,60.1,81.8,68.6
20000,80.6,68.4,81.6,67.2,66.7,54.4,77.5,63.1
25000,76.8,63.2,77.6,61.9,62.2,48.6,72.9,57.2
