EA-6B,J52-P-408,Cruise (90% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,135.9,135.9,141.3,141.4,130.4,130.4,145.5,145.5
250,134.2,134.2,139.6,139.7,128.1,128.1,143.2,143.2
315,132.4,131.8,137.8,136.9,125.7,125.1,140.8,139.9
400,130.5,129.3,135.9,133.7,123.2,121.9,138.2,136.1
500,128.5,126.8,133.8,131.2,120.6,118.9,135.6,133
630,126.4,124.1,131.6,128.5,117.8,115.6,132.7,129.7
800,124.1,121.3,129.1,125.7,115,112.2,129.6,126.2
1000,121.8,118.5,126.4,122.6,112.1,108.8,126.4,122.5
1250,119.4,115.5,123.4,119.2,109.1,105.2,122.8,118.6
1600,116.9,112.7,120.4,115.9,106,101.8,119.2,114.7
2000,114.4,110,117.2,112.5,102.9,98.5,115.4,110.6
2500,111.8,107.3,114,109.2,99.7,95.2,111.5,106.7
3150,109.2,104.8,110.7,106.1,96.5,92.1,107.6,103
4000,106.5,102.4,107.3,102.7,93.2,89.1,103.9,99.3
5000,103.7,99.7,104.1,99,89.8,85.8,100.2,95.2
6300,100.8,96.8,100.8,95,86.3,82.3,96.6,90.8
8000,97.7,93.4,97.4,90.5,82.6,78.3,92.8,85.9
10000,94.5,89.5,93.9,85.8,78.8,73.8,88.9,80.8
12500,91.2,84.7,90.7,81.1,74.9,68.4,85.1,75.6
16000,87.6,79.3,87.2,76.3,70.7,62.4,81,70.1
20000,83.8,73.7,83.3,70.9,66.3,56.2,76.5,64.1
25000,79.8,67.8,79.1,65,61.7,49.7,71.7,57.6
