EA-6B,J52-P-408,Takeoff (95% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,139.2,139.2,143.8,143.7,133.8,133.8,148.8,148.8
250,137.5,137.5,142.1,142,131.5,131.5,146.5,146.5
315,135.7,135.1,140.3,139.3,129.1,128.5,144.2,143.2
400,133.9,132.5,138.4,136.1,126.7,125.4,141.7,139.4
500,131.9,130.1,136.4,133.7,124.1,122.3,139.1,136.4
630,129.9,127.6,134.2,131.1,121.5,119.2,136.3,133.2
800,127.7,124.9,131.9,128.4,118.7,115.9,133.4,129.9
1000,125.3,121.9,129.2,125.4,115.7,112.4,130.1,126.2
1250,122.8,118.8,126.2,121.9,112.6,108.7,126.5,122.2
1600,120.3,116.1,123.2,118.7,109.6,105.3,122.9,118.3
2000,117.8,113.3,119.9,115.2,106.5,102,119,114.3
2500,115.3,110.7,116.6,111.8,103.3,98.8,115.1,110.3
3150,112.7,108.2,113.3,108.6,100.1,95.7,111.2,106.5
4000,110,105.9,110.1,105.4,96.9,92.7,107.5,102.7
5000,107.3,103.2,106.9,101.9,93.5,89.4,103.8,98.7
6300,104.3,100.3,103.6,98,90,86,100,94.3
8000,101.3,97,100.2,93.7,86.3,82.1,96,89.5
10000,98,93.3,96.7,89.2,82.4,77.7,92,84.5
12500,94.5,88.5,93.1,84.6,78.3,72.4,87.8,79.3
16000,90.8,83.3,89.6,79.8,74,66.5,83.7,73.9
20000,86.8,77.6,85.7,74.5,69.4,60.3,79.2,68
25000,82.5,71.7,81.4,68.7,64.5,53.7,74.3,61.6
