F-14A,TF30-P-412A/412,Afterburner (101.5% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,128.8,128.8,132.7,132.7,125.1,125.1,138.1,138.1
250,127.2,127.2,131,131,122.9,122.9,135.8,135.8
315,125.6,125.1,129.3,128.7,120.7,120.2,133.5,133
400,123.9,123,127.5,126.4,118.3,117.5,131.1,130
500,122.1,120.6,125.6,123.9,116,114.5,128.6,126.9
630,120.3,118.1,123.6,121.2,113.6,111.4,126,123.6
800,118.4,115.6,121.5,118.4,111.1,108.2,123.3,120.3
1000,116.4,113,119.2,115.5,108.5,105,120.4,116.7
1250,114.4,110.4,116.9,112.5,105.8,101.9,117.5,113.1
1600,112.2,108.2,114.5,109.9,103.1,99,114.5,109.9
2000,109.9,105.9,111.9,107.2,100.2,96.2,111.3,106.7
2500,107.5,103.6,109.2,104.5,97.2,93.3,108,103.3
3150,105,101.4,106.2,101.8,94,90.4,104.4,100
4000,102.2,99.2,102.9,98.9,90.7,87.6,100.7,96.7
5000,99.3,96.6,99.3,95.8,87.2,84.5,96.6,93.2
6300,96.2,93.9,95.5,92.5,83.5,81.1,92.5,89.5
8000,92.9,90.6,92,88.8,79.6,77.3,88.5,85.3
10000,89.4,86.8,88.3,84.3,75.5,72.8,84.4,80.4
12500,85.7,81.8,84.7,78.7,71.2,67.3,80.2,74.2
16000,81.9,76.2,80.8,73.6,66.7,61.1,75.7,68.5
20000,77.8,70.3,76.8,67.9,62.1,54.6,71.1,62.2
25000,73.6,64.1,72.4,61.4,57.3,47.8,66.1,55.2
