F-14A,TF30-P-412A/412,Takeoff (101.5% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,124.5,124.5,128.1,127,123,123,136.6,135.5
250,122.8,122.8,126.4,125.3,120.7,120.7,134.3,133.2
315,121.1,120.5,124.6,122.9,118.4,117.8,131.9,130.3
400,119.3,118.1,122.6,120.5,116.1,114.8,129.3,127.2
500,117.5,115.5,120.5,117.9,113.6,111.6,126.6,124
630,115.5,112.9,118.3,115,111.1,108.4,123.8,120.5
800,113.5,110.3,116,112,108.5,105.2,120.9,117
1000,111.5,107.6,113.5,108.9,105.8,101.9,117.8,113.2
1250,109.3,104.9,110.8,105.5,103.1,98.6,114.5,109.2
1600,107.1,102.5,107.9,102.4,100.2,95.6,111,105.6
2000,104.7,100,104.8,99.3,97.3,92.6,107.3,101.8
2500,102.2,97.6,102,96.2,94.1,89.6,103.9,98.1
3150,99.6,95.2,99.1,93,90.9,86.5,100.4,94.4
4000,96.7,92.7,95.8,89.9,87.4,83.4,96.5,90.6
5000,93.6,89.9,92.3,86.5,83.8,80,92.4,86.5
6300,90.3,86.8,88.6,82.8,79.8,76.4,88.1,82.2
8000,86.6,83.3,84.6,79.4,75.5,72.3,83.5,78.2
10000,82.6,79.3,80.3,75.6,70.9,67.7,78.5,73.8
12500,78,74.3,75.7,70.6,65.8,62,73.3,68.2
16000,73,68.5,70.5,64.7,60.2,55.6,67.5,61.7
20000,67.5,61.9,65,57.7,54,48.5,61.4,54.1
25000,61.5,54.6,58.9,49.4,47.4,40.5,54.7,45.2
