F-14A,TF30-P-412A/412,Traffic pattern (86% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,107.1,107.1,113.3,113.3,105.5,105.5,122.9,122.8
250,105.1,105.1,111.3,111.3,102.9,102.9,120.3,120.3
315,103,102.4,109.2,108.3,100.2,99.6,117.6,116.7
400,100.7,99.2,106.9,104.8,97.4,95.8,114.7,112.6
500,98.3,96.5,104.4,102,94.3,92.5,111.6,109.1
630,95.6,93.6,101.7,98.9,91.1,89,108.3,105.5
800,92.8,90.4,98.8,95.7,87.6,85.2,104.8,101.7
1000,89.7,87,95.6,92.1,84,81.2,101,97.5
1250,86.6,83.4,92.1,88.2,80.2,77,96.8,93
1600,83.3,79.8,88.1,84,76.4,72.9,92.3,88.1
2000,80.2,76.4,83.8,79.3,72.6,68.8,87.4,82.8
2500,77.1,73.2,80.2,75.1,68.9,65.1,83.2,78.1
3150,74,70.2,76.6,71.6,65.2,61.5,79,74
4000,70.7,67.3,72.3,67.5,61.4,58,74,69.2
5000,67.4,64,67.7,63,57.4,54.1,68.6,64
6300,63.9,60.3,63.2,58.1,53.3,49.7,63.5,58.3
8000,60.3,55.8,58.8,52.5,49.1,44.7,58.4,52.1
10000,56.6,50.8,54.1,45.3,44.9,39,53,44.2
12500,53,44.8,49.5,35.9,40.6,32.5,47.8,34.2
16000,49.3,38.7,44,25.5,36.3,25.8,41.7,23.2
20000,45.3,33.1,38.5,11.4,31.7,19.6,35.6,8.5
25000,41.1,28.2,30.8,-2.8,26.9,14,27.3,-6.3
