F-14B,F110-GE-40,Takeoff (105% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,128.1,128.1,132,131,126,126,139.8,138.8
250,126.4,126.4,130.3,129.2,123.7,123.7,137.5,136.4
315,124.7,124.2,128.4,126.8,121.3,120.9,135.1,133.4
400,122.8,121.8,126.4,124.3,118.9,117.9,132.4,130.3
500,120.8,119.2,124.3,121.6,116.3,114.7,129.7,127
630,118.8,116.5,122,118.7,113.7,111.4,126.8,123.5
800,116.8,113.8,119.6,115.6,111,108.1,123.8,119.9
1000,114.6,110.9,117,112.4,108.3,104.6,120.6,116
1250,112.3,108.1,114.2,108.9,105.4,101.2,117.2,111.9
1600,110,105.6,111.3,105.7,102.4,98.1,113.7,108.2
2000,107.5,103,108.2,102.6,99.4,94.9,110,104.4
2500,104.8,100.4,104.8,99.4,96.1,91.7,106.1,100.6
3150,102,97.7,101.8,96.1,92.7,88.4,102.4,96.7
4000,99,95,98.6,92.7,89.1,85.1,98.5,92.7
5000,95.9,91.9,95.1,89.1,85.3,81.4,94.5,88.4
6300,92.4,88.5,91.5,85.2,81.3,77.4,90.2,83.8
8000,88.8,84.6,87.7,80.8,77.1,72.9,85.7,78.8
10000,84.8,80.3,83.5,76.8,72.5,68,80.9,74.2
12500,80.5,75,79.1,72,67.6,62.1,75.9,68.8
16000,75.7,69.1,74.2,66.4,62.2,55.6,70.4,62.5
20000,70.5,62.7,68.9,59.9,56.4,48.6,64.5,55.5
25000,64.7,55.7,63.1,52.4,50,41,58.1,47.3
