F-14B,F110-GE-40,Traffic pattern (86% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,104.1,104.1,110.3,110.5,102.5,102.5,118.5,118.7
250,102.3,102.3,108.4,108.6,100.1,100.1,116,116.2
315,100.5,100.1,106.5,105.8,97.6,97.2,113.4,112.8
400,98.5,97.3,104.3,102.7,95,93.8,110.7,109.1
500,96.3,94.8,102.1,100,92.2,90.7,107.8,105.8
630,94.1,92,99.6,97.1,89.4,87.3,104.8,102.3
800,91.6,89.3,96.9,94.4,86.3,84,101.5,99
1000,89,86.3,94.1,91.1,83.1,80.4,98.1,95.1
1250,86.3,83.1,91.1,87.5,79.8,76.6,94.5,90.9
1600,83.4,80,87.8,84,76.3,72.9,90.6,86.8
2000,80.4,76.9,84.1,80.1,72.7,69.2,86.3,82.3
2500,77.4,73.9,79.9,75.8,69.1,65.6,81.5,77.4
3150,74.2,71.1,75.6,71.2,65.3,62.2,76.6,72.1
4000,71,68.2,71.4,67.3,61.5,58.8,72,67.8
5000,67.5,65.1,66.8,62.9,57.4,55,66.9,63
6300,63.8,61.6,62,58.1,53.1,50.9,61.6,57.8
8000,59.8,57.4,57.2,52.6,48.5,46.2,56.4,51.8
10000,55.7,52.5,52.4,45.5,43.8,40.6,51.1,44.2
12500,51.6,46.3,47.8,37.6,39.1,33.8,45.9,35.8
16000,47.7,39.3,42.6,26.1,34.6,26.2,40.1,23.7
20000,43.7,32.4,36.2,14.6,30,18.7,33.1,11.6
25000,39.5,26.5,28.5,3.1,25.3,12.2,24.9,-0.5
