F-14B,F110-GE-40,Approach (87.5% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,105.1,105.1,110.7,110.7,102.2,102.2,115.4,115.4
250,103.6,103.6,109.1,109.1,100,100,113.2,113.2
315,102,101.5,107.4,106.6,97.8,97.3,110.9,110.1
400,100.3,99.4,105.6,104.2,95.5,94.6,108.5,107.1
500,98.6,97,103.7,101.8,93.2,91.6,106,104.1
630,96.9,94.5,101.8,99.1,90.9,88.5,103.5,100.9
800,95,92,99.7,96.4,88.5,85.4,100.8,97.5
1000,93.1,89.4,97.6,93.6,85.9,82.2,98.1,94.1
1250,91.1,86.9,95.4,90.6,83.3,79.1,95.3,90.5
1600,89,84.7,93,88,80.6,76.3,92.3,87.3
2000,86.8,82.4,90.4,85.4,77.8,73.4,89.1,84.1
2500,84.4,80.1,87.8,82.7,74.9,70.6,85.9,80.8
3150,82,77.9,84.9,80,71.8,67.7,82.4,77.5
4000,79.3,75.6,81.5,77,68.6,64.9,78.7,74.2
5000,76.6,73.1,77.9,73.8,65.2,61.7,74.7,70.5
6300,73.6,70.3,74.6,70.3,61.7,58.3,71,66.6
8000,70.6,67,71.3,66.4,58,54.4,67.3,62.3
10000,67.4,63.2,67.7,61.7,54.3,50,63.3,57.3
12500,64.2,58.3,64.1,55.6,50.4,44.5,59.1,50.6
16000,60.9,52.9,60.3,49.4,46.5,38.5,54.7,43.8
20000,57.4,47.4,56.1,41.3,42.5,32.4,50,35.1
25000,53.8,42.2,51.2,30.9,38.3,26.6,44.4,24.1
