F-14B,F110-GE-40,Intermediate (92% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,110.6,110.6,114.3,114.9,107.7,107.7,120.4,120.9
250,109,109,112.6,113.2,105.5,105.5,118.1,118.6
315,107.3,107.1,110.9,110.9,103.2,103,115.7,115.7
400,105.6,105,109,108.6,100.9,100.3,113.2,112.8
500,103.8,102.6,107,106,98.5,97.3,110.7,109.7
630,101.9,100,105,103.3,96,94.1,108,106.3
800,100,97.4,102.8,100.4,93.4,90.9,105.2,102.8
1000,97.9,94.7,100.6,97.4,90.8,87.6,102.4,99.2
1250,95.7,92.1,98.2,94.3,88,84.3,99.5,95.5
1600,93.4,89.6,95.7,91.7,85,81.3,96.4,92.3
2000,90.9,87.2,93,88.9,82,78.2,93.1,89
2500,88.3,84.7,90.1,86.1,78.7,75.2,89.6,85.6
3150,85.4,82.2,86.9,83.2,75.3,72.1,85.8,82.1
4000,82.4,79.7,83.3,80,71.7,68.9,81.7,78.4
5000,79.1,76.8,79.3,76.4,67.8,65.5,77.3,74.3
6300,75.7,73.6,75,72.5,63.8,61.7,72.5,70.1
8000,72.1,69.8,71.2,68.1,59.6,57.3,68.3,65.1
10000,68.4,65.3,67.4,62.7,55.2,52.2,64,59.4
12500,64.6,59.7,63.4,55.9,50.8,45.9,59.4,51.9
16000,60.7,53.5,58.9,48.2,46.3,39.2,54.3,43.6
20000,56.6,47.3,53.9,39.9,41.7,32.4,48.7,34.7
25000,52.3,41.2,48,29.1,36.8,25.7,42.3,23.4
