F-18A&C,F404-GE-400&402,Traffic pattern (82% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,107.1,107.1,111.3,112,105.2,105.2,118,118.6
250,105.6,105.6,109.7,110.3,103,103,115.7,116.4
315,104,103.2,108,108.1,100.8,100,113.4,113.5
400,102.3,100.8,106.2,105.6,98.6,97.1,111.1,110.5
500,100.6,98.4,104.4,103.1,96.3,94.1,108.7,107.3
630,98.9,95.9,102.5,100.4,94,91,106.1,104.1
800,97.1,93.4,100.4,97.6,91.6,87.9,103.5,100.6
1000,95.2,90.9,98.2,94.6,89.1,84.8,100.7,97.1
1250,93.3,88.4,95.9,91.5,86.6,81.7,97.8,93.4
1600,91.2,86.3,93.4,88.8,83.9,78.9,94.7,90.1
2000,89.1,84,90.8,86.1,81.2,76.1,91.4,86.8
2500,86.9,81.8,88,83.4,78.3,73.3,88,83.4
3150,84.5,79.6,85.1,80.6,75.4,70.5,84.6,80.1
4000,82,77.5,82.1,77.5,72.3,67.7,81.2,76.6
5000,79.3,75,79,74.1,69,64.7,77.7,72.9
6300,76.5,72.3,75.7,70.3,65.6,61.4,74.1,68.7
8000,73.5,69.2,72.4,66.2,62,57.7,70.4,64.2
10000,70.3,65.6,68.7,62,58.2,53.5,66.4,59.7
12500,66.9,61.1,65.1,57.4,54.2,48.4,62.1,54.4
16000,63.2,56,61,51.6,49.9,42.7,57.5,48.1
20000,59.4,50.4,56.7,44.5,45.4,36.5,52.6,40.4
25000,55.3,44.5,51.4,35.4,40.7,29.9,46.7,30.6
