F-18A&C,F404-GE-400&402,Approach (88.5% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,121.5,121.5,125.5,125.5,120,120,132.7,132.7
250,119.9,119.9,123.8,123.8,117.8,117.8,130.4,130.4
315,118.3,117.1,122,121.3,115.6,114.4,128.1,127.3
400,116.6,114.5,120.2,118.6,113.4,111.2,125.6,124.1
500,114.9,112,118.3,116,111.1,108.1,123.1,120.9
630,113.2,109.4,116.3,113.2,108.7,105,120.6,117.5
800,111.4,106.9,114.2,110.3,106.3,101.8,117.8,114
1000,109.5,104.4,111.9,107.3,103.8,98.7,115,110.4
1250,107.6,101.9,109.5,104.1,101.3,95.6,112,106.6
1600,105.6,99.6,107,101.3,98.7,92.8,108.9,103.2
2000,103.5,97.4,104.7,98.5,96,89.9,106,99.7
2500,101.2,95.1,102.3,95.6,93.2,87,102.9,96.3
3150,98.9,92.8,99.7,92.7,90.2,84.1,99.8,92.7
4000,96.5,90.5,96.8,89.6,87.2,81.2,96.5,89.2
5000,93.9,87.9,93.8,86.1,84,78,93.1,85.4
6300,91.1,85,90.7,82.5,80.6,74.6,89.6,81.5
8000,88.1,81.8,87.4,79.2,77,70.8,85.9,77.7
10000,84.9,78.2,83.9,75.4,73.3,66.6,82.1,73.6
12500,81.5,73.7,80.4,71.1,69.2,61.5,78,68.6
16000,77.8,68.6,76.6,66,64.9,55.8,73.6,63
20000,73.8,63,72.3,60.3,60.3,49.6,68.7,56.6
25000,69.4,57,67.9,53.8,55.4,42.9,63.6,49.5
