F-18E&F,F414-GE-400,Approach (84% NC),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,123.9,123.9,126.9,126.9,123,123,135.1,135.1
250,122.3,122.3,125.2,125.2,120.8,120.8,132.8,132.8
315,120.8,119.7,123.5,122.8,118.6,117.6,130.5,129.8
400,119.1,117.3,121.7,120.3,116.4,114.5,128.2,126.7
500,117.5,114.8,119.9,117.7,114.2,111.5,125.7,123.5
630,115.7,112.3,118,115,111.8,108.4,123.2,120.2
800,114,109.8,115.9,112.2,109.5,105.2,120.6,116.8
1000,112.1,107.3,113.8,109.3,107,102.2,117.8,113.3
1250,110.2,104.8,111.5,106.2,104.5,99.1,114.9,109.7
1600,108.1,102.6,109.1,103.6,101.8,96.3,112,106.4
2000,106,100.4,106.6,100.9,99.1,93.4,108.8,103.1
2500,103.7,98.1,104.1,98.2,96.2,90.6,105.8,99.8
3150,101.3,95.8,101.7,95.4,93.2,87.7,102.7,96.4
4000,98.7,93.4,98.9,92.4,90,84.7,99.5,93
5000,96,90.7,96,89.1,86.7,81.4,96.1,89.2
6300,93.1,87.8,92.9,85.5,83.2,77.9,92.6,85.2
8000,90,84.4,89.7,81.8,79.5,73.9,88.9,80.9
10000,86.7,80.6,86.2,78.1,75.6,69.5,84.9,76.8
12500,83.2,75.9,82.6,73.6,71.5,64.2,80.7,71.7
16000,79.4,70.6,78.5,68.6,67.1,58.3,76,66.1
20000,75.3,64.9,74.5,62.9,62.4,52,71.4,59.8
25000,71,58.8,70.1,56.5,57.5,45.3,66.4,52.8
