F-35B,F-135-PW-600,Afterburner (150% ETR),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,136,136,140.5,141.2,133.8,133.8,148.1,148.8
250,134.3,134.3,138.8,139.5,131.6,131.6,145.8,146.5
315,132.6,131.6,137,136.5,129.3,128.2,143.4,143
400,130.9,128.9,135.1,133.7,127,124.9,141,139.5
500,129.1,126.4,133.2,131.2,124.6,121.8,138.4,136.4
630,127.2,123.8,131,128.5,122.1,118.6,135.6,133.1
800,125.3,121.2,128.8,125.7,119.5,115.4,132.9,129.7
1000,123.3,118.4,126.5,122.8,116.9,112.1,129.9,126.2
1250,121.2,115.6,123.9,119.4,114.2,108.7,126.7,122.2
1600,119.1,113.1,121.2,116.3,111.5,105.6,123.4,118.5
2000,116.9,110.7,118.7,113.1,108.8,102.5,120.3,114.7
2500,114.7,108.2,116.2,110,105.9,99.5,117.2,111
3150,112.4,105.8,113.6,107,103,96.5,114,107.4
4000,110,103.4,110.8,103.6,100,93.5,110.8,103.6
5000,107.5,100.7,108,100.1,96.9,90.2,107.5,99.6
6300,104.8,97.8,105,96.4,93.7,86.7,104.1,95.4
8000,102,94.6,102,92.9,90.3,82.8,100.6,91.5
10000,99.1,90.9,99,89.2,86.7,78.6,97.2,87.4
12500,95.9,86.5,96,85.1,83,73.5,93.6,82.7
16000,92.6,81.6,92.9,80.5,79,68,89.9,77.5
20000,89,76.5,89.6,75.8,74.9,62.3,86,72.2
25000,85.3,71.4,85.9,71.3,70.5,56.7,81.7,67.2
