F-35B,F-135-PW-600,Approach high (55% ETR),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,120.4,120.4,125.5,126,115.7,115.7,129.7,130.2
250,118.8,118.8,123.8,124.3,113.5,113.5,127.4,127.9
315,117.2,115.9,122,121.4,111.2,110,125,124.4
400,115.5,113.1,120.1,118.6,108.9,106.6,122.5,121
500,113.7,110.5,118.1,116.1,106.6,103.4,119.9,117.9
630,111.9,107.9,116,113.3,104.2,100.2,117.2,114.5
800,110,105.3,113.7,110.3,101.7,96.9,114.3,110.9
1000,108.1,102.6,111.3,107.1,99.2,93.7,111.3,107.1
1250,106.1,100,108.9,103.8,96.6,90.5,108.3,103.2
1600,104.1,97.7,106.6,100.8,94,87.5,105.4,99.6
2000,102.1,95.3,104.3,97.8,91.3,84.6,102.5,96
2500,99.9,92.9,101.8,94.8,88.6,81.6,99.4,92.4
3150,97.6,90.6,99.3,91.8,85.7,78.7,96.3,88.8
4000,95.3,88.2,96.5,88.4,82.7,75.7,93.1,85
5000,92.8,85.5,93.6,84.7,79.6,72.4,89.8,81
6300,90.1,82.6,90.5,81.2,76.4,68.9,86.4,77.1
8000,87.4,79.3,87.5,77.8,73,65,83,73.2
10000,84.4,75.7,84.2,73.9,69.5,60.8,79.2,68.9
12500,81.2,71.2,80.9,69.6,65.7,55.7,75.4,64
16000,77.9,66.3,77.4,64.6,61.8,50.2,71.3,58.4
20000,74.3,61.1,73.7,59,57.6,44.4,67,52.3
25000,70.4,55.9,69.5,52.5,53.1,38.6,62.2,45.2
