F-35B,F-135-PW-600,Traffic pattern (55% ETR),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,118.9,118.9,123.1,123.7,114.1,114.1,127.3,128
250,117.4,117.4,121.4,122.1,112,112,125.1,125.8
315,115.8,114.5,119.7,119.6,109.8,108.5,122.8,122.7
400,114.2,111.8,118,117,107.6,105.2,120.4,119.4
500,112.6,109.4,116.2,114.4,105.4,102.2,118,116.3
630,110.9,106.9,114.2,111.7,103.1,99.1,115.5,113
800,109.2,104.5,112.2,109,100.8,96.1,112.9,109.6
1000,107.4,102.1,110.1,106.1,98.4,93.1,110.2,106.1
1250,105.6,99.7,107.8,103.1,96,90.1,107.3,102.5
1600,103.7,97.6,105.6,100.4,93.4,87.3,104.4,99.2
2000,101.7,95.4,103.4,97.7,90.9,84.6,101.7,95.9
2500,99.6,93.3,101.1,95,88.2,81.9,98.8,92.6
3150,97.4,91.1,98.8,92.3,85.4,79.1,95.9,89.3
4000,95.1,89,96.1,89.2,82.5,76.4,92.8,85.9
5000,92.7,86.6,93.3,85.9,79.5,73.4,89.7,82.3
6300,90.2,84,90.5,82.5,76.4,70.2,86.4,78.5
8000,87.5,81.1,87.5,78.8,73.1,66.7,83.1,74.4
10000,84.7,77.7,84.4,75.2,69.7,62.7,79.6,70.5
12500,81.7,73.5,81.3,71.1,66.1,57.9,76,65.7
16000,78.6,68.8,78,66.4,62.4,52.6,72.1,60.4
20000,75.2,63.7,74.6,61.1,58.4,46.9,68,54.5
25000,71.7,58.5,70.7,55,54.3,41.1,63.6,47.9
