F-4C,J79-GE-15E,Afterburner (100% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,133.7,133.7,138.2,138.9,130.2,130.2,144.2,144.9
250,132.1,132.1,136.6,137.2,128.1,128.1,142,142.6
315,130.5,129.5,134.9,134.5,125.8,124.9,139.7,139.3
400,128.8,127,133,131.9,123.5,121.7,137.2,136.1
500,127,124.6,131.1,129.5,121.2,118.7,134.7,133.1
630,125.2,122.1,129.2,126.9,118.7,115.6,132.2,129.9
800,123.3,119.6,127.1,124.2,116.2,112.5,129.5,126.6
1000,121.4,117,125,121.5,113.8,109.4,126.8,123.3
1250,119.3,114.2,122.5,118.3,111,106,123.7,119.5
1600,117.2,111.8,119.8,115.3,108.3,102.9,120.4,115.9
2000,115,109.5,117,112.3,105.6,100,117,112.3
2500,112.8,107.2,114.1,109.3,102.8,97.1,113.5,108.7
3150,110.5,104.9,111.5,106.5,99.9,94.3,110.3,105.3
4000,108.1,102.8,108.7,103.4,96.9,91.5,107.1,101.8
5000,105.6,100.3,105.8,100,93.8,88.4,103.8,98
6300,103,97.7,102.8,96.4,90.5,85.2,100.4,93.9
8000,100.2,94.7,99.7,92.7,87.1,81.6,96.9,89.8
10000,97.2,91.3,96.5,89.1,83.5,77.7,93.2,85.8
12500,94,87.1,93.3,85,79.7,72.8,89.4,81.1
16000,90.6,82.2,90.2,80.3,75.7,67.4,85.7,75.8
20000,86.9,77,86.8,75,71.5,61.5,81.8,69.9
25000,83.1,71.5,83.1,69.5,67,55.4,77.4,63.8
