F-4C,J79-GE-15E,Takeoff (100% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,131,131,134.6,135.2,126.5,126.5,139.7,140.4
250,129.4,129.4,132.9,133.6,124.3,124.3,137.5,138.1
315,127.8,127.1,131.2,131.1,122,121.4,135.1,135
400,126.1,124.7,129.3,128.3,119.7,118.3,132.7,131.6
500,124.3,122.3,127.5,125.8,117.3,115.3,130.2,128.6
630,122.4,119.8,125.5,123.3,114.9,112.3,127.6,125.4
800,120.5,117.3,123.4,120.8,112.3,109.2,124.9,122.4
1000,118.4,114.7,121,118,109.7,106,122,118.9
1250,116.2,112,118.3,114.8,106.9,102.7,118.7,115.1
1600,114,109.6,115.4,111.7,104.1,99.7,115.2,111.4
2000,111.8,107.3,112.5,108.6,101.2,96.8,111.7,107.8
2500,109.4,105.1,109.5,105.7,98.3,93.9,108.1,104.3
3150,106.9,102.8,106.4,102.8,95.2,91.1,104.3,100.8
4000,104.3,100.7,103.4,99.8,91.9,88.3,100.8,97.2
5000,101.5,98.2,100.2,96.5,88.5,85.3,97.2,93.5
6300,98.5,95.6,96.9,92.9,84.9,82,93.3,89.3
8000,95.2,92.5,93.4,88.9,81.1,78.4,89.3,84.8
10000,91.6,89,89.6,84.9,76.9,74.2,85.1,80.3
12500,87.7,84.3,85.6,80.4,72.4,69,80.5,75.2
16000,83.5,79,81.3,75.2,67.6,63.1,75.5,69.5
20000,79,73.1,77,69.5,62.5,56.6,70.6,63.1
25000,74.2,66.6,72.4,62.8,57.1,49.5,65.5,55.9
