F-4C,J79-GE-15E,Approach (87% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,118.1,118.1,122,122.7,115.1,115.1,127.7,128.4
250,116.5,116.5,120.4,121.1,112.9,112.9,125.5,126.1
315,114.9,114,118.7,118.6,110.7,109.8,123.2,123.1
400,113.3,111.5,116.9,116.1,108.5,106.7,120.8,120
500,111.7,109.1,115.1,113.6,106.3,103.7,118.3,116.9
630,109.9,106.7,113.1,110.9,103.9,100.7,115.8,113.6
800,108.2,104.2,111.1,108.2,101.6,97.6,113.2,110.3
1000,106.3,101.8,109,105.3,99.1,94.6,110.5,106.8
1250,104.4,99.4,106.9,102.4,96.6,91.6,107.8,103.2
1600,102.4,97.3,104.6,99.9,94,88.9,104.9,100.1
2000,100.4,95.1,102.2,97.3,91.4,86.1,101.8,97
2500,98.2,93,99.5,94.7,88.6,83.4,98.6,93.8
3150,95.9,90.9,96.7,92.1,85.6,80.6,95.2,90.5
4000,93.4,88.7,93.7,89.1,82.6,77.9,91.8,87.2
5000,90.8,86.3,90.7,85.8,79.4,74.9,88.5,83.6
6300,88,83.7,87.6,82.4,76,71.7,85,79.8
8000,85.1,80.7,84.4,78.5,72.5,68.1,81.4,75.5
10000,82,77.2,81,74,68.8,64,77.7,70.7
12500,78.6,72.7,77.6,69.7,64.8,58.9,73.7,65.8
16000,75.1,67.7,74,64.7,60.7,53.3,69.5,60.2
20000,71.3,62.3,70,58.6,56.3,47.3,64.9,53.5
25000,67.3,56.5,65.6,52.2,51.7,40.8,59.9,46.5
