F-5A&B,J85-GE-13,Approach (82% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,103.1,103.1,106.5,106.5,100.6,100.6,113.3,113.3
250,101.6,101.6,104.9,104.9,98.5,98.5,111.1,111.1
315,100,99.3,103.2,102.6,96.3,95.6,108.8,108.2
400,98.4,97,101.5,100.3,94.1,92.7,106.5,105.3
500,96.7,94.6,99.7,97.8,91.8,89.7,104.1,102.2
630,95,92.2,97.8,95.2,89.5,86.7,101.6,98.9
800,93.2,89.7,95.9,92.4,87.1,83.6,99,95.6
1000,91.4,87.3,93.8,89.6,84.7,80.6,96.3,92.2
1250,89.4,84.8,91.5,86.7,82.1,77.6,93.5,88.6
1600,87.4,82.7,89.2,84.2,79.5,74.8,90.5,85.5
2000,85.2,80.5,86.6,81.6,76.8,72,87.4,82.3
2500,83,78.3,84,78.9,73.9,69.2,84.2,79.1
3150,80.5,76.1,81.2,76.3,70.9,66.4,80.7,75.8
4000,78,73.9,78,73.4,67.7,63.6,77.1,72.5
5000,75.2,71.4,75,70.2,64.4,60.5,73.7,68.9
6300,72.3,68.6,72,66.8,60.9,57.1,70.2,65
8000,69.3,65.4,68.7,63,57.2,53.3,66.4,60.7
10000,66.1,61.6,65.2,58.4,53.4,48.9,62.4,55.6
12500,62.7,56.9,61.4,53,49.4,43.6,58.1,49.7
16000,59.2,51.7,57.3,46.6,45.3,37.8,53.4,42.7
20000,55.5,46.4,52.8,38.7,41,31.9,48.3,34.2
25000,51.6,41.4,47.6,27,36.5,26.3,42.5,21.8
