F-5E,J85-GE-21,Cruise (86% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,104.5,104.5,107.6,107.6,100.7,100.7,113.5,113.5
250,102.9,102.9,106,106,98.5,98.5,111.3,111.3
315,101.3,100.9,104.3,103.8,96.4,95.9,109.1,108.5
400,99.7,99,102.6,101.7,94.1,93.4,106.7,105.8
500,98,96.6,100.8,99.2,91.9,90.4,104.3,102.7
630,96.3,94.1,98.9,96.5,89.5,87.3,101.8,99.4
800,94.5,91.5,96.8,93.7,87.1,84.1,99.2,96.1
1000,92.6,89,94.7,90.8,84.6,81,96.4,92.6
1250,90.6,86.5,92.4,87.8,82,77.9,93.5,89
1600,88.4,84.3,89.9,85.3,79.2,75.1,90.5,85.8
2000,86.2,82,87.4,82.7,76.4,72.3,87.3,82.6
2500,83.7,79.8,84.7,80,73.3,69.4,84,79.3
3150,81.1,77.5,81.7,77.3,70.1,66.5,80.4,76
4000,78.2,75.1,78.2,74.3,66.7,63.5,76.4,72.6
5000,75.2,72.4,74.4,71,63,60.2,72.1,68.7
6300,72,69.4,70.4,67.4,59.2,56.6,67.6,64.6
8000,68.5,65.9,66.9,63.2,55.2,52.5,63.6,59.9
10000,64.9,61.7,63.1,58,51,47.7,59.3,54.3
12500,61.2,56.5,59.1,50.6,46.6,41.9,54.8,46.3
16000,57.2,50.7,54.7,43.2,42,35.6,49.8,38.2
20000,53.1,44.8,49.7,34.2,37.3,29,44.1,28.7
25000,48.7,39,43.9,21.8,32.4,22.6,37.7,15.7
