F-8,J57-P-20,Takeoff (94.5% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,117.8,117.8,121.8,122.4,113,113,126.6,127.3
250,116.2,116.2,120.1,120.7,110.9,110.9,124.4,125
315,114.6,113.9,118.4,118.2,108.7,108,122.1,121.9
400,112.9,111.7,116.6,115.8,106.4,105.2,119.7,118.9
500,111.2,109.3,114.7,113.3,104.1,102.2,117.2,115.8
630,109.5,106.8,112.8,110.6,101.7,99.1,114.6,112.5
800,107.6,104.2,110.7,107.9,99.3,95.9,112,109.1
1000,105.7,101.6,108.5,105,96.8,92.7,109.2,105.7
1250,103.7,99,106.2,101.9,94.2,89.5,106.3,102
1600,101.7,96.8,103.8,99.3,91.6,86.7,103.3,98.8
2000,99.5,94.5,101.3,96.6,88.8,83.8,100.2,95.5
2500,97.2,92.2,98.6,93.9,85.9,80.9,96.8,92.2
3150,94.9,89.9,95.6,91.2,82.9,78,93.3,88.8
4000,92.4,87.7,92.8,88.2,79.8,75.2,90,85.4
5000,89.8,85.2,89.9,84.9,76.6,72.1,86.7,81.7
6300,87,82.4,86.8,81.3,73.3,68.7,83.2,77.6
8000,84.2,79.3,83.6,77.3,69.9,65,79.5,73.2
10000,81.2,75.7,80.3,72.8,66.3,60.8,75.8,68.3
12500,78.1,71.2,76.9,68.3,62.5,55.6,71.8,63.2
16000,74.7,66.2,73.3,63.1,58.6,50.1,67.6,57.4
20000,71.2,61,69.3,57.3,54.4,44.2,63,51
25000,67.4,55.5,65.1,50.5,50,38.2,58.2,43.5
