MU-3001,JT15D-5,Takeoff (2100 lbs.),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
(ft),A-G,G-G,A-G,G-G,A-G,G-G,A-G,G-G
200,107.6,107.6,109.7,109.7,102.7,102.7,114.3,114.3
250,106.1,106.1,108.2,108.2,100.6,100.6,112.2,112.1
315,104.6,102.1,106.7,103.9,98.5,96,110.1,107.3
400,103.1,98.1,105.1,100.1,96.4,91.4,107.9,102.9
500,101.6,95.5,103.5,97.6,94.3,88.2,105.7,99.7
630,100,93.2,101.8,94.9,92.1,85.3,103.4,96.4
800,98.4,91.1,100.1,92.1,89.9,82.6,101.1,93.1
1000,96.8,89.1,98.4,89.5,87.7,80,98.8,89.9
1250,95.1,87.2,96.6,87.3,85.4,77.5,96.4,87.1
1600,93.3,85.3,94.7,85.1,83,75,93.9,84.3
2000,91.5,83.4,92.8,83,80.6,72.5,91.4,81.6
2500,89.5,81.5,90.7,80.9,78,70,88.7,78.9
3150,87.5,79.6,88.6,78.8,75.4,67.5,85.9,76.2
4000,85.3,77.6,85.9,76.3,72.6,64.9,82.7,73.1
5000,82.9,75.4,83.2,73.4,69.6,62.1,79.4,69.6
6300,80.4,73,80.2,70.7,66.5,59.1,75.8,66.3
8000,77.6,70.3,76.9,67.9,63.1,55.8,71.9,62.8
10000,74.7,67.2,73.3,64.5,59.6,52.1,67.7,58.9
12500,71.4,63.2,69.9,60.5,55.7,47.5,63.7,54.3
16000,67.9,58.6,66.4,55.4,51.7,42.3,59.6,48.6
20000,64.2,53.4,62.5,49,47.3,36.5,55,41.6
25000,60.1,47.7,58.1,41,42.6,30.2,50.1,33
