MU-3001,JT15D-5,Landing (670 lbs.),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
(ft),A-G,G-G,A-G,G-G,A-G,G-G,A-G,G-G
200,92.3,92.3,96.9,96.9,88.7,88.7,104,104
250,90.6,90.6,95.1,95.1,86.3,86.3,101.6,101.6
315,88.8,88.3,93.2,92.4,83.9,83.4,99.1,98.3
400,86.9,85.8,91.2,89.4,81.4,80.3,96.5,94.7
500,84.9,83.3,89.1,86.8,78.8,77.2,93.8,91.5
630,82.8,80.6,86.9,83.9,76.2,73.9,91.1,88
800,80.7,77.9,84.6,81.2,73.4,70.6,88.1,84.8
1000,78.4,75,82,78.1,70.5,67.1,84.9,81
1250,76,71.9,79.2,74.7,67.6,63.4,81.6,77.1
1600,73.6,69.2,76.2,71.4,64.5,60.1,78,73.2
2000,71.1,66.4,72.9,67.8,61.4,56.7,74.1,69
2500,68.6,63.6,69.4,64,58.3,53.3,69.9,64.5
3150,66,60.9,66.2,60.7,55.1,50,66.1,60.6
4000,63.3,58.3,63.1,57.2,51.9,46.9,62.4,56.5
5000,60.7,55.5,59.7,53.3,48.6,43.4,58.5,52
6300,57.9,52.4,56.2,48.5,45.2,39.7,54.3,46.6
8000,55.1,48.9,52.4,42.2,41.8,35.6,49.9,39.7
10000,52.1,45,47.8,35.9,38.3,31.1,44.7,32.8
12500,49,40.3,43,26.3,34.5,25.8,39.3,22.6
16000,45.7,35.3,38.2,15.1,30.6,20.2,33.9,10.8
20000,42.2,30.2,33,3.9,26.5,14.5,28.1,-1
25000,38.3,25,23.2,-7.3,22,8.8,17.7,-12.8
