OV-10A,T76-G-416/417,Takeoff (100% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,101,101,105.4,105.5,100.1,100.1,114.2,114.3
250,99.5,99.5,103.9,104,98.1,98.1,112.1,112.2
315,98.1,94.3,102.4,99.2,96,92.2,110,106.8
400,96.6,89.3,100.8,95.4,93.9,86.6,107.9,102.5
500,95.1,86.7,99.3,93.4,91.9,83.5,105.7,99.8
630,93.6,84.4,97.7,91.4,89.8,80.6,103.5,97.2
800,92.1,82.5,96,89.5,87.6,78,101.2,94.7
1000,90.5,80.7,94.3,87.6,85.5,75.7,98.9,92.2
1250,88.9,79,92.6,85.7,83.3,73.3,96.6,89.8
1600,87.3,77.3,90.8,83.8,81,71,94.2,87.2
2000,85.6,75.5,88.9,81.7,78.7,68.7,91.7,84.5
2500,83.8,73.7,87,79.2,76.4,66.3,89.2,81.4
3150,82,71.9,84.9,76.3,73.9,63.8,86.6,77.9
4000,80,70,82.3,72.5,71.4,61.4,83.2,73.5
5000,77.9,68,79.5,68.6,68.7,58.7,79.8,68.9
6300,75.7,66,76.5,65.2,65.8,56.1,76.2,65
8000,73.3,63.8,73.3,62.4,62.8,53.4,72.4,61.5
10000,70.6,61.4,69.9,59.3,59.6,50.4,68.4,57.8
12500,67.8,58.3,66.8,55.8,56.1,46.7,64.6,53.6
16000,64.6,54.8,63.2,51.7,52.3,42.5,60.5,48.9
20000,61.1,50.9,59.2,46.9,48.2,38.1,55.9,43.6
25000,57.3,47,54.8,41.8,43.8,33.5,50.9,37.9
