OV-10A,T76-G-416/417,Intermediate (97% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,96.4,96.4,100.6,100.7,95.1,95.1,108.2,108.3
250,95,95,99.1,99.2,93.1,93.1,106.1,106.2
315,93.5,89.9,97.5,93.7,91,87.4,104,100.1
400,92,85.2,96,89.5,88.9,82.1,101.8,95.3
500,90.5,82.6,94.4,87.3,86.8,78.9,99.6,92.6
630,89,80.3,92.7,85.2,84.7,76,97.4,89.9
800,87.5,78.3,91,83.2,82.6,73.4,95.1,87.2
1000,85.9,76.5,89.3,81.1,80.4,71,92.8,84.5
1250,84.3,74.8,87.5,78.9,78.2,68.7,90.4,81.7
1600,82.6,73,85.7,76.7,75.9,66.3,88,78.9
2000,80.9,71.3,83.8,74.3,73.6,64,85.5,76
2500,79.1,69.5,81.8,71.7,71.2,61.6,82.9,72.8
3150,77.2,67.8,79.8,68.9,68.7,59.3,80.2,69.4
4000,75.3,66,77.2,66.1,66.2,56.9,77.1,66.1
5000,73.1,63.9,74.5,63.2,63.4,54.2,73.9,62.6
6300,70.9,61.9,71.6,60.3,60.6,51.6,70.5,59.3
8000,68.4,59.6,68.5,57.2,57.5,48.7,67,55.7
10000,65.8,57,65.2,53.6,54.3,45.5,63.2,51.5
12500,62.9,53.6,62.1,49,50.8,41.5,59.4,46.3
16000,59.7,49.7,58.6,44.1,47,37,55.3,40.9
20000,56.2,45.4,54.7,38.5,42.9,32.1,50.8,34.7
25000,52.3,41,49.9,32.6,38.4,27.1,45.5,28.1
