OV-10A,T76-G-416/417,Approach (97% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,97,97,102.1,102.2,95.4,95.4,110.2,110.3
250,95.6,95.6,100.6,100.7,93.4,93.4,108.1,108.2
315,94.1,90.4,99,95.3,91.3,87.6,106,102.3
400,92.7,85.9,97.5,91.7,89.2,82.5,103.8,98.1
500,91.2,83.3,95.9,89.6,87.1,79.3,101.6,95.3
630,89.7,81,94.2,87.4,85,76.3,99.3,92.6
800,88.1,78.9,92.5,85.4,82.9,73.6,97,89.9
1000,86.6,77,90.8,83.4,80.7,71.1,94.7,87.3
1250,85,75.1,89,81.2,78.5,68.7,92.3,84.6
1600,83.3,73.3,87.1,78.9,76.3,66.3,89.8,81.7
2000,81.6,71.5,85.2,76.5,73.9,63.9,87.3,78.6
2500,79.8,69.7,83.2,73.8,71.6,61.5,84.7,75.4
3150,78,67.9,81.1,70.9,69.1,59.1,82,71.9
4000,76,66.1,78.3,67.2,66.6,56.6,78.6,67.5
5000,73.9,64.1,75.5,63.9,63.9,54,75.2,63.5
6300,71.7,62.1,72.5,60.9,61.1,51.4,71.5,60
8000,69.3,59.9,69.3,57.7,58.1,48.6,67.7,56.1
10000,66.8,57.4,65.9,54.1,54.9,45.5,63.7,51.9
12500,63.9,54.1,62.8,49.8,51.5,41.7,60,47
16000,60.8,50.4,59.4,45,47.8,37.4,56,41.5
20000,57.4,46.4,55.6,39.6,43.8,32.7,51.5,35.6
25000,53.6,42.2,51.2,33.8,39.4,28,46.6,29.2
