P-3A,T56-A-14,Approach (900 ESHP),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,95.3,95.3,100.5,100.7,91.3,91.3,108.8,109
250,93.8,93.8,99,99.2,89.2,89.2,106.7,106.9
315,92.2,91.1,97.4,96.6,87.1,86,104.5,103.6
400,90.7,88.5,95.8,93.4,85,82.7,102.3,99.9
500,89.1,86.2,94.1,91.3,82.8,79.8,100,97.2
630,87.5,83.9,92.4,89.1,80.6,76.9,97.7,94.4
800,85.9,81.6,90.7,86.8,78.4,74,95.4,91.5
1000,84.3,79.3,88.9,84.5,76.1,71.1,92.9,88.6
1250,82.6,76.9,87,82,73.8,68.2,90.5,85.5
1600,80.9,74.5,85.1,79,71.5,65.1,88,81.9
2000,79.1,72.2,83.1,76.2,69.2,62.3,85.4,78.5
2500,77.3,69.8,81,73,66.8,59.3,82.7,74.7
3150,75.5,67.4,78.7,69.5,64.4,56.2,79.8,70.6
4000,73.7,64.9,76.1,65.6,61.9,53.2,76.6,66
5000,71.8,62.4,73.5,61.8,59.4,50.1,73.3,61.6
6300,69.8,60,70.7,58.5,56.9,47.1,69.8,57.7
8000,67.8,57.4,67.8,55.1,54.3,43.9,66.3,53.6
10000,65.8,54.7,64.8,51.5,51.7,40.5,62.6,49.3
12500,63.7,51.5,61.8,47.2,48.9,36.8,59.1,44.5
16000,61.4,48.5,58.8,42.1,46.1,33.2,55.4,38.7
20000,59,45.7,55.5,36.8,43.1,29.8,51.5,32.8
25000,56.5,43,52,29.9,39.9,26.5,47.4,25.3
