T-29,R-2800-103W,Cruise (2000 RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,97.3,97.3,101.1,101,92.3,92.3,106.1,106
250,95.9,95.9,99.5,99.4,90.2,90.2,103.9,103.8
315,94.4,92.7,98,96.5,88.1,86.5,101.8,100.4
400,92.8,89.8,96.3,93.8,86,83,99.6,97
500,91.3,87.3,94.7,91.3,83.8,79.9,97.3,93.9
630,89.7,84.8,93,88.6,81.6,76.8,95.1,90.6
800,88.1,82.4,91.3,85.9,79.4,73.7,92.7,87.3
1000,86.4,80,89.5,83,77.2,70.8,90.3,83.9
1250,84.7,77.7,87.7,80.2,74.8,67.8,87.9,80.4
1600,82.9,75.6,85.8,77.6,72.5,65.1,85.4,77.3
2000,81.1,73.5,83.7,75.1,70.1,62.4,82.7,74.1
2500,79.2,71.4,81.6,72.5,67.6,59.8,80,71
3150,77.3,69.4,79.3,69.9,65,57.1,77.1,67.7
4000,75.2,67.4,76.8,67.1,62.4,54.5,74.1,64.4
5000,73.1,65.1,74.1,63.9,59.6,51.6,70.9,60.7
6300,70.9,62.7,71.3,60.5,56.8,48.7,67.6,56.9
8000,68.5,60,68.3,56.8,53.9,45.4,64.1,52.7
10000,66.1,57,65.2,52.8,50.8,41.7,60.5,48.2
12500,63.5,53.2,62.2,48,47.7,37.4,56.9,42.7
16000,60.8,49.2,58.8,42.1,44.4,32.7,53,36.3
20000,57.9,45.1,55.2,35.1,40.9,28,48.8,28.7
25000,54.8,41.2,51,23.1,37.2,23.5,44,16.1
