T-2C,J85-GE-4A,Takeoff (101.7% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,122.7,122.7,125.9,126.6,118.7,118.7,131.6,132.3
250,121.1,121.1,124.2,124.9,116.5,116.5,129.3,130
315,119.4,119.2,122.5,122.7,114.2,113.9,127,127.2
400,117.7,117.3,120.6,120.4,111.8,111.4,124.5,124.3
500,115.9,114.9,118.7,117.9,109.4,108.4,122,121.2
630,114,112.3,116.6,115.2,107,105.3,119.3,117.9
800,112.1,109.7,114.5,112.4,104.4,102,116.6,114.5
1000,110,107,112.2,109.4,101.8,98.7,113.7,110.9
1250,107.8,104.2,109.8,106.3,99,95.4,110.7,107.2
1600,105.6,101.9,107.1,103.5,96.1,92.4,107.4,103.8
2000,103.1,99.5,104.4,100.8,93.1,89.4,104.1,100.5
2500,100.6,97,101.4,98,89.9,86.4,100.5,97.1
3150,97.8,94.7,98.2,95.2,86.6,83.4,96.7,93.7
4000,94.9,92.3,94.4,92.1,83.1,80.5,92.5,90.2
5000,91.8,89.7,90.4,88.6,79.3,77.2,88.2,86.4
6300,88.5,86.8,86.2,84.8,75.5,73.7,83.5,82.1
8000,85,83.3,82.3,80.2,71.4,69.6,79.3,77.2
10000,81.3,79.2,78.5,75.3,67.1,65,75.1,71.9
12500,77.5,74,74.6,69.1,62.6,59.2,70.7,65.1
16000,73.4,68.3,70.5,63.2,57.9,52.8,65.9,58.6
20000,69,62.1,65.9,56.7,53,46.1,60.7,51.5
25000,64.4,55.7,61.1,49.3,47.7,39.1,55.3,43.5
