T-2C,J85-GE-4A,Approach (72.5% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,107.7,107.7,111.8,111.8,105.7,105.7,119.7,119.7
250,106.1,106.1,110.1,110.2,103.5,103.5,117.4,117.4
315,104.5,103.8,108.4,107.6,101.3,100.6,115.1,114.3
400,102.8,101.5,106.6,105,99,97.7,112.7,111.1
500,101.1,99.1,104.7,102.5,96.7,94.7,110.2,108
630,99.3,96.6,102.7,99.8,94.3,91.6,107.6,104.7
800,97.4,94.1,100.5,97,91.9,88.5,104.8,101.3
1000,95.5,91.5,98.2,94.1,89.3,85.3,101.9,97.8
1250,93.5,88.9,95.8,91,86.7,82.2,98.9,94.1
1600,91.4,86.7,93.4,88.3,84,79.3,95.9,90.8
2000,89.2,84.4,90.8,85.6,81.3,76.4,92.6,87.5
2500,87,82.1,87.9,82.9,78.4,73.6,89.2,84.2
3150,84.6,79.9,84.9,80.1,75.4,70.7,85.6,80.8
4000,82,77.7,81.8,77.2,72.3,68,82,77.3
5000,79.4,75.3,78.7,73.9,69,64.9,78.4,73.6
6300,76.6,72.6,75.6,70.3,65.6,61.6,74.7,69.4
8000,73.6,69.4,72.2,66.3,62,57.9,70.8,64.9
10000,70.4,65.9,68.7,61.8,58.3,53.7,66.8,59.8
12500,67.1,61.3,65.1,57.2,54.3,48.5,62.6,54.7
16000,63.6,56.1,61.1,51.4,50.2,42.8,58,48.2
20000,59.8,50.6,57,44.3,45.8,36.6,53.3,40.5
25000,55.7,44.8,52.5,36,41.2,30.2,48.2,31.7
