T-33A,J33-A-35,Approach (80% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,97,97,101.5,101.5,97.4,97.4,112.3,112.3
250,95.4,95.4,99.8,99.8,95.2,95.2,110.1,110.1
315,93.8,93,98.1,97.6,93,92.3,107.7,107.2
400,92.1,90.6,96.3,95.1,90.8,89.2,105.4,104.2
500,90.4,88.2,94.5,92.7,88.4,86.2,102.9,101.1
630,88.6,85.7,92.5,90,86,83.1,100.4,97.8
800,86.8,83.3,90.5,87.3,83.6,80.1,97.7,94.5
1000,84.8,80.8,88.2,84.3,81.1,77,94.9,91
1250,82.8,78.2,85.8,81.2,78.5,73.9,91.8,87.2
1600,80.7,76,83.2,78.4,75.8,71.1,88.6,83.8
2000,78.6,73.8,80.3,75.5,73,68.2,85.2,80.3
2500,76.3,71.6,77.3,72.4,70.1,65.5,81.5,76.6
3150,73.9,69.5,74.5,69.2,67.2,62.7,78.1,72.8
4000,71.4,67.4,71.4,66.1,64,60,74.3,69
5000,68.7,64.9,68.1,62.7,60.7,57,70.4,65
6300,65.8,62.4,64.6,58.9,57.2,53.8,66.2,60.5
8000,62.7,59.3,60.9,55,53.5,50.2,61.8,55.9
10000,59.3,55.9,56.8,51,49.6,46.1,57,51.2
12500,55.7,51.4,52.5,45.7,45.4,41,52.2,45.3
16000,51.8,46.2,47.9,39.2,40.9,35.2,46.9,38.2
20000,47.7,40.5,42.8,31.4,36.2,29,41.3,29.8
25000,43.4,34.4,37.2,19,31.3,22.2,35,16.9
