T-34,PT6A-25,Landing (30% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,75.2,75.2,82.2,82.4,67.8,67.8,85.7,85.9
250,73.7,73.7,80.3,80.5,65.7,65.7,83.2,83.5
315,72.2,70.8,78.4,77.2,63.7,62.2,80.7,79.5
400,70.7,67.9,76.4,74,61.5,58.7,78.2,75.7
500,69.1,65.6,74.5,71.6,59.4,55.9,75.6,72.7
630,67.6,63.5,72.5,69.3,57.3,53.2,73,69.8
800,66,61.5,70.6,66.9,55.1,50.6,70.5,66.8
1000,64.4,59.6,68.5,64.5,52.9,48.1,67.8,63.8
1250,62.8,57.8,66.4,62.1,50.6,45.7,65.1,60.8
1600,61.1,56,64.1,59.6,48.3,43.3,62.2,57.7
2000,59.4,54.4,61.6,57.1,46,41,59.1,54.6
2500,57.6,52.6,59.2,54.2,43.7,38.7,56.1,51.1
3150,55.8,50.8,56.5,51.3,41.3,36.2,52.8,47.6
4000,54,48.6,53,45.9,38.8,33.4,48.7,41.6
5000,52.1,46,49.1,39.1,36.4,30.3,44.2,34.2
6300,50.2,43.5,44.7,31,33.8,27.1,39.2,25.5
8000,48.2,41.5,40.7,24.8,31.2,24.6,34.6,18.7
10000,46.1,39.6,36.1,19.9,28.6,22.1,29.3,13.2
12500,44,37.6,29.8,15.4,25.8,19.5,22.4,8.1
16000,41.7,35.7,24.6,10.8,23,16.9,16.7,2.9
20000,39.3,33.7,18.5,6.3,20,14.3,10,-2.2
25000,36.8,31.7,12.4,1.7,16.9,11.7,3.3,-7.4
