T-38A,J85-GE-5A,Takeoff (100% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,120.8,120.8,124.2,124.3,115,115,128.9,129
250,119.2,119.2,122.6,122.7,112.8,112.8,126.6,126.7
315,117.5,117.1,120.8,120.4,110.6,110.2,124.3,123.8
400,115.8,115.1,119,118.1,108.3,107.5,121.9,120.9
500,114,112.6,117.1,115.6,105.9,104.5,119.3,117.8
630,112.1,110.1,115,112.9,103.4,101.4,116.7,114.6
800,110.2,107.5,112.9,110.1,100.9,98.2,113.9,111.1
1000,108.2,104.9,110.6,107.1,98.3,95,111.1,107.6
1250,106.1,102.2,108.2,104,95.6,91.7,108.1,103.8
1600,103.9,99.9,105.6,101.2,92.8,88.8,104.8,100.5
2000,101.5,97.5,102.7,98.3,89.8,85.8,101.4,97
2500,99.1,95.1,99.7,95.4,86.7,82.8,97.7,93.5
3150,96.4,92.8,96.5,92.6,83.5,79.9,94,90.1
4000,93.7,90.5,92.8,89.6,80.1,77,89.8,86.6
5000,90.7,87.9,88.9,86.3,76.6,73.8,85.3,82.8
6300,87.6,85.1,85.4,82.7,72.9,70.4,81.3,78.5
8000,84.2,81.8,81.8,78.3,68.9,66.5,77.1,73.7
10000,80.7,77.9,78.1,73.5,64.8,62,72.9,68.3
12500,76.9,73,74.3,68.1,60.4,56.5,68.5,62.3
16000,72.9,67.5,70.2,62.7,55.8,50.4,63.8,56.3
20000,68.6,61.5,65.7,56.2,50.9,43.8,58.8,49.3
25000,64.1,55.2,60.8,48.4,45.8,36.8,53.2,40.8
