T-38A,J85-GE-5A,Cruise (90% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,100.4,100.4,103.5,103.6,97.2,97.2,110.4,110.5
250,98.9,98.9,101.8,101.9,95,95,108.1,108.3
315,97.3,96.6,100.1,99.4,92.8,92.1,105.8,105.2
400,95.7,94.3,98.3,96.7,90.6,89.2,103.4,101.8
500,94,91.9,96.5,94.2,88.3,86.2,101,98.7
630,92.2,89.4,94.5,91.6,86,83.2,98.4,95.5
800,90.4,87,92.3,88.8,83.6,80.2,95.6,92.1
1000,88.5,84.6,90,86,81.1,77.1,92.8,88.7
1250,86.6,82.1,87.7,83,78.5,74.1,89.8,85.1
1600,84.5,79.9,85.3,80.4,75.9,71.3,86.8,81.9
2000,82.4,77.7,82.7,77.8,73.1,68.5,83.6,78.7
2500,80.1,75.5,79.8,75,70.2,65.7,80.1,75.4
3150,77.6,73.4,76.8,72.3,67.2,62.9,76.5,72
4000,75.1,71.2,73.5,69.4,64,60.2,72.7,68.6
5000,72.3,68.8,70.3,66.1,60.7,57.1,69,64.8
6300,69.4,66.1,67,62.5,57.1,53.9,65.1,60.6
8000,66.3,63,63.6,58.4,53.4,50.1,61.1,56
10000,62.9,59.4,59.8,53.7,49.4,45.9,56.8,50.8
12500,59.3,54.7,55.9,47.8,45.3,40.6,52.3,44.3
16000,55.5,49.4,51.2,41.6,40.9,34.7,47.1,37.4
20000,51.5,43.6,46.2,33.2,36.2,28.4,41.5,28.5
25000,47.2,37.5,40.5,20.2,31.4,21.6,35.1,14.9
