T-38A,J85-GE-5A,Approach (91% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,102.3,102.3,105.4,105.5,100.2,100.2,113.2,113.3
250,100.8,100.8,103.8,103.8,98,98,111,111
315,99.2,98.4,102.1,101.6,95.8,95,108.7,108.2
400,97.6,96.1,100.4,99.1,93.6,92.1,106.4,105.1
500,96,93.7,98.6,96.6,91.4,89.1,104,102
630,94.3,91.2,96.7,93.9,89.1,86.1,101.5,98.7
800,92.5,88.8,94.7,91.2,86.7,83,98.9,95.4
1000,90.7,86.4,92.6,88.3,84.3,80,96.2,91.9
1250,88.8,84,90.3,85.4,81.8,77,93.3,88.4
1600,86.8,81.9,88,82.8,79.2,74.3,90.4,85.2
2000,84.7,79.7,85.4,80.2,76.5,71.5,87.2,82
2500,82.4,77.6,82.7,77.6,73.7,68.8,83.9,78.8
3150,80.1,75.4,80,74.9,70.7,66.1,80.6,75.5
4000,77.6,73.3,77.2,72,67.6,63.3,77.2,72.1
5000,75,70.9,74.2,68.9,64.4,60.3,73.7,68.4
6300,72.1,68.3,71.1,65.4,61,57.1,70,64.3
8000,69.2,65.2,67.8,61.6,57.4,53.5,66.2,60
10000,66,61.7,64.3,57.2,53.6,49.3,62.1,55
12500,62.6,57.1,60.6,52.3,49.6,44.2,57.8,49.5
16000,59,52,56.6,46.1,45.4,38.4,53.2,42.8
20000,55.2,46.5,51.9,38,41,32.3,47.9,34
25000,51.2,40.6,46.4,28.9,36.4,25.8,41.8,24.4
