T-45,F405-RR-401,Cruise (85% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,95.5,95.5,99.6,99.6,91.8,91.8,105.2,105.1
250,94,94,98,97.9,89.7,89.7,102.9,102.9
315,92.4,91.2,96.3,95.3,87.5,86.3,100.6,99.6
400,90.8,88.6,94.5,92.4,85.3,83.1,98.2,96.1
500,89.2,86.1,92.6,89.8,83.1,80,95.7,92.9
630,87.5,83.7,90.6,87.1,80.8,77,93.1,89.7
800,85.7,81.4,88.5,84.5,78.4,74.1,90.4,86.4
1000,83.9,79.1,86.2,81.6,76,71.2,87.6,82.9
1250,82.1,76.7,83.8,78.6,73.6,68.3,84.6,79.3
1600,80.1,74.6,81.3,75.7,71,65.6,81.4,75.9
2000,78.1,72.5,79,73,68.4,62.8,78.5,72.6
2500,75.9,70.4,76.5,70.3,65.7,60.2,75.5,69.2
3150,73.7,68.4,73.9,67.5,62.8,57.5,72.3,65.8
4000,71.3,66.3,71.1,64.5,59.8,54.8,68.9,62.3
5000,68.8,64,68.1,61.3,56.7,51.9,65.4,58.5
6300,66,61.4,65,58,53.4,48.7,61.8,54.7
8000,63.1,58.5,61.7,54.1,49.8,45.2,58,50.4
10000,60,55.1,58,49.8,46.1,41.2,53.7,45.5
12500,56.7,50.7,54.4,44.4,42.2,36.3,49.5,39.5
16000,53.1,45.8,49.8,37.5,38,30.7,44.3,32
20000,49.3,40.3,45.2,27.9,33.6,24.6,39.1,21.8
25000,45.3,34.5,39.6,18.4,29,18.2,32.9,11.7
