T-45,F405-RR-401,Cruise (87.5% RPM),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,103.6,103.6,106.6,106.9,99.5,99.5,112.4,112.7
250,102.1,102.1,105,105.3,97.4,97.4,110.2,110.5
315,100.6,98.4,103.5,102,95.3,93.1,108.1,106.6
400,99.1,94.9,101.9,98.3,93.2,88.9,105.9,102.3
500,97.5,92.2,100.2,95.7,91,85.7,103.6,99.1
630,96,89.7,98.5,92.9,88.8,82.6,101.3,95.7
800,94.3,87.3,96.8,90,86.6,79.5,99,92.2
1000,92.7,85,95,87.1,84.3,76.6,96.6,88.7
1250,91,82.7,93.1,84.1,82,73.8,94.1,85.1
1600,89.2,80.7,91.2,81.4,79.6,71.1,91.6,81.9
2000,87.3,78.6,89.2,78.8,77.2,68.5,89,78.6
2500,85.4,76.5,87.1,76.2,74.7,65.8,86.3,75.4
3150,83.4,74.4,84.9,73.7,72.1,63.1,83.6,72.3
4000,81.3,72.3,82.4,71,69.3,60.4,80.5,69.1
5000,79,69.9,79.7,68.1,66.5,57.4,77.3,65.7
6300,76.7,67.4,76.9,65.1,63.5,54.3,74,62.2
8000,74.2,64.5,73.9,61.8,60.4,50.8,70.4,58.3
10000,71.5,61.3,70.7,57.8,57.2,47,66.7,53.8
12500,68.6,57.2,67.5,53,53.7,42.3,62.9,48.4
16000,65.5,52.7,64,47.6,50,37.1,58.8,42.4
20000,62.2,47.7,60.2,41.3,46.1,31.6,54.4,35.6
25000,58.6,42.5,55.7,33.5,41.9,25.8,49.4,27.1
