T-6,PT6A-68,Takeoff (100% Torque),160 kts.,,,,,
Distance,SEL,,EPNL,,ALM,,PNLT,
   (ft),    A-G,  G-G,    A-G,  G-G,    A-G,  G-G,    A-G,  G-G
200,104.3,104.3,101.7,101.9,93.9,93.9,110.3,110.5
250,102.8,102.8,100.2,100.4,91.8,91.8,108.2,108.4
315,101.2,99.5,98.6,97.4,89.6,87.9,106,104.8
400,99.6,96.3,97,94.2,87.4,84.1,103.8,101
500,98,93.8,95.3,91.6,85.2,81,101.5,97.8
630,96.4,91.2,93.6,88.8,82.9,77.8,99.2,94.4
800,94.6,88.6,91.7,85.9,80.6,74.6,96.7,90.9
1000,92.9,86.1,89.8,82.8,78.3,71.5,94.2,87.2
1250,91.1,83.5,87.7,79.4,75.9,68.3,91.6,83.2
1600,89.3,81.1,85.6,76,73.5,65.3,88.9,79.2
2000,87.5,78.8,83.5,72.7,71.1,62.4,86.1,75.3
2500,85.6,76.6,81.4,69.4,68.6,59.6,83.4,71.5
3150,83.7,74.5,79.1,66.5,66.1,56.9,80.5,67.9
4000,81.7,72.3,76.2,63.3,63.5,54.1,77.1,64.2
5000,79.6,70,73.3,60,60.8,51.2,73.6,60.2
6300,77.4,67.6,70.3,56.7,58,48.2,70,56.4
8000,75.1,64.9,67.1,53,55,44.9,66.3,52.1
10000,72.6,61.9,63.9,48.4,52,41.3,62.5,47
12500,70.1,58.1,60.9,43.4,48.9,36.9,58.9,41.3
16000,67.4,53.9,57.7,37.1,45.5,32.1,55.1,34.5
20000,64.5,49.5,54.2,29.9,42.1,27.1,51,26.7
25000,61.4,45.1,50.3,21.7,38.4,22.1,46.4,17.9
