OV-10A,T76-G-416/417,Military power (101% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,96.3,95.6,95.3,95.4,96,96.6,97.8,99.2,100.5,103,101.6,99.5,99.2,97,95.7,95,93.2,88.8,68.8
250,94.2,93.4,93.1,93.3,93.8,94.5,95.7,97.1,98.4,100.9,99.5,97.5,97.2,95,93.5,92.8,91,86.6,66.6
315,92,91.2,90.9,91,91.5,92.3,93.5,94.9,96.3,98.9,97.5,95.5,95.1,92.9,91.3,90.6,88.7,84.4,64.4
400,89.8,88.9,88.7,88.8,89.3,90,91.2,92.7,94.1,96.8,95.4,93.4,93,90.7,89.1,88.3,86.4,82.1,62.1
500,87.6,86.6,86.4,86.5,86.9,87.7,88.9,90.4,91.9,94.6,93.3,91.3,90.9,88.6,86.9,86,84,79.7,59.7
630,85.3,84.3,84,84.1,84.6,85.4,86.5,88.1,89.7,92.5,91.2,89.3,88.8,86.4,84.6,83.7,81.6,77.3,57.3
800,82.9,81.9,81.6,81.7,82.1,83,84.1,85.8,87.4,90.3,89.1,87.2,86.7,84.2,82.2,81.3,79.1,74.9,54.9
1000,80.5,79.4,79.2,79.2,79.6,80.5,81.6,83.4,85.1,88.1,87,85.1,84.5,82,79.8,78.8,76.5,72.4,52.4
1250,78,76.8,76.7,76.6,77,78,79.1,81,82.7,85.9,84.8,82.9,82.3,79.8,77.4,76.3,73.8,69.8,49.8
1600,75.5,74.2,74.1,74,74.4,75.4,76.4,78.5,80.3,83.6,82.6,80.8,80.1,77.5,74.9,73.7,71.1,67.3,47.3
2000,72.8,71.5,71.4,71.3,71.6,72.8,73.8,75.9,77.9,81.3,80.4,78.6,77.9,75.3,72.4,71.1,68.3,64.7,44.7
2500,70.1,68.8,68.7,68.6,68.9,70.1,71.1,73.3,75.4,78.9,78.2,76.4,75.7,73,69.8,68.4,65.5,62,42
3150,67.3,65.9,65.9,65.7,66.1,67.4,68.3,70.7,72.8,76.5,75.9,74.1,73.4,70.6,67.1,65.7,62.7,59.4,39.4
4000,64.3,63,62.9,62.8,63.2,64.7,65.5,68,70.2,74,73.5,71.8,71.1,68.3,64.5,62.9,59.8,56.8,36.8
5000,61.2,59.9,59.8,59.8,60.2,61.9,62.7,65.2,67.5,71.4,71,69.4,68.7,65.9,61.8,60.2,56.9,54.1,34.1
6300,58,56.7,56.6,56.7,57.3,59.2,59.9,62.3,64.7,68.7,68.5,66.9,66.2,63.4,59,57.4,54,51.4,31.4
8000,54.5,53.4,53.2,53.5,54.2,56.3,57,59.3,61.7,65.8,65.9,64.4,63.7,60.9,56.2,54.6,51.2,48.6,28.6
10000,50.9,49.9,49.7,50.2,51.1,53.4,54.1,56.2,58.6,62.8,63.1,61.7,61.1,58.3,53.4,51.8,48.2,45.8,25.8
12500,47.2,46.3,46,46.8,48,50.4,51,52.9,55.3,59.6,60.1,58.8,58.3,55.6,50.5,49,45.3,42.8,22.8
16000,43.2,42.6,42.2,43.3,44.9,47.3,47.8,49.3,51.8,56.2,57,55.8,55.4,52.8,47.5,46.1,42.2,39.8,19.8
20000,39.2,38.7,38.3,39.7,41.7,44.1,44.5,45.5,48,52.6,53.7,52.5,52.2,49.7,44.4,43.2,39,36.6,16.6
25000,34.9,34.7,34.2,36.1,38.5,40.6,40.9,41.4,43.9,48.8,50.2,49.1,48.9,46.5,41.2,40.2,35.7,33.2,13.2
