S-3A&B,TF34-GE-400A/B,Low idle (64.7% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,86.7,87.1,85.8,83,87.1,83.8,79.9,77.6,80.9,78,83.2,87.5,81.1,78.2,75.7,78.4,79.1,69.1,59.1
250,84.6,85,83.6,80.8,85,81.7,77.8,75.4,78.8,75.9,81.1,85.4,79,76.2,73.7,76.3,77,67,57
315,82.5,82.9,81.5,78.7,82.8,79.6,75.6,73.2,76.7,73.9,79,83.3,77,74.1,71.6,74.2,74.9,64.9,54.9
400,80.4,80.7,79.3,76.5,80.6,77.4,73.4,71,74.6,71.8,76.9,81.3,74.9,72,69.6,72.1,72.8,62.8,52.8
500,78.2,78.5,77.1,74.3,78.4,75.2,71.2,68.8,72.5,69.6,74.8,79.2,72.8,69.9,67.5,70,70.7,60.7,50.7
630,76,76.3,74.8,72,76.2,73,69,66.5,70.4,67.5,72.7,77,70.7,67.8,65.4,67.8,68.6,58.6,48.6
800,73.8,74.1,72.5,69.8,73.9,70.8,66.8,64.2,68.2,65.3,70.5,74.9,68.6,65.7,63.3,65.7,66.5,56.5,46.5
1000,71.6,71.8,70.2,67.5,71.6,68.5,64.6,61.9,66,63.2,68.3,72.7,66.4,63.6,61.2,63.5,64.4,54.4,44.4
1250,69.3,69.5,67.9,65.2,69.3,66.2,62.3,59.6,63.8,61,66.1,70.5,64.2,61.4,59,61.3,62.2,52.2,42.2
1600,67,67.2,65.5,62.9,66.9,64,60,57.2,61.5,58.7,63.8,68.3,62,59.2,56.9,59,60,50,40
2000,64.7,64.9,63,60.5,64.6,61.7,57.7,54.8,59.2,56.5,61.5,66,59.8,57,54.6,56.8,57.8,47.8,37.8
2500,62.3,62.5,60.6,58.1,62.1,59.3,55.4,52.3,56.9,54.1,59.1,63.7,57.5,54.7,52.4,54.5,55.6,45.6,35.6
3150,59.8,60.1,58,55.7,59.7,57,53,49.8,54.4,51.7,56.7,61.3,55.1,52.4,50.1,52.1,53.3,43.3,33.3
4000,57.3,57.6,55.4,53.1,57.2,54.5,50.5,47.3,51.9,49.2,54.1,58.7,52.6,49.9,47.7,49.6,51,41,31
5000,54.7,55.1,52.7,50.6,54.6,52.1,48,44.6,49.3,46.7,51.4,56.1,50.1,47.4,45.2,47.1,48.6,38.6,28.6
6300,52.1,52.5,49.9,47.9,52,49.6,45.4,41.9,46.5,44,48.6,53.3,47.4,44.8,42.6,44.4,46.1,36.1,26.1
8000,49.3,49.7,46.9,45.2,49.2,47,42.6,39,43.6,41.1,45.6,50.4,44.5,42,39.9,41.6,43.5,33.5,23.5
10000,46.3,46.8,43.7,42.4,46.4,44.2,39.8,36,40.4,38.1,42.4,47.3,41.5,39,37,38.6,40.7,30.7,20.7
12500,43.2,43.8,40.3,39.4,43.3,41.4,36.7,32.8,37,34.9,39,43.9,38.2,35.9,34,35.5,37.8,27.8,17.8
16000,39.9,40.5,36.6,36.2,40.1,38.3,33.5,29.3,33.3,31.5,35.3,40.2,34.7,32.5,30.7,32.1,34.7,24.7,14.7
20000,36.3,37,32.5,32.9,36.6,35,30.1,25.7,29.1,27.7,31.4,36.2,30.9,28.9,27.2,28.4,31.4,21.4,11.4
25000,32.5,33.1,28.1,29.2,32.9,31.5,26.3,21.7,24.6,23.7,27.2,31.9,26.7,24.9,23.4,24.4,27.8,17.8,7.8
