S-3A&B,TF34-GE-400A/B,High idle (74% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,86.9,87.6,88.8,87.5,87.3,85.4,81.2,76,78.1,81.8,83.9,84.9,86.3,88.5,87.7,84.3,81.6,71.6,61.6
250,84.7,85.4,86.6,85.2,85,83.2,78.9,73.7,75.8,79.5,81.6,82.6,84.1,86.2,85.4,82,79.4,69.4,59.4
315,82.4,83.1,84.2,83,82.8,80.8,76.5,71.4,73.5,77.2,79.3,80.3,81.7,83.9,83.1,79.7,77.1,67.1,57.1
400,80.1,80.7,81.8,80.6,80.4,78.4,74.1,69,71,74.8,76.9,77.9,79.3,81.5,80.8,77.3,74.8,64.8,54.8
500,77.7,78.3,79.4,78.2,78,76,71.6,66.5,68.6,72.3,74.5,75.4,76.9,79,78.3,74.9,72.4,62.4,52.4
630,75.2,75.7,76.8,75.7,75.5,73.4,69,63.9,66,69.7,71.9,72.9,74.3,76.5,75.8,72.4,69.9,59.9,49.9
800,72.7,73.1,74.2,73.2,72.9,70.8,66.3,61.3,63.3,67.1,69.3,70.2,71.7,73.8,73.2,69.8,67.3,57.3,47.3
1000,70,70.4,71.4,70.5,70.2,68,63.5,58.5,60.6,64.3,66.5,67.4,69,71,70.5,67.1,64.7,54.7,44.7
1250,67.2,67.6,68.5,67.7,67.4,65.1,60.6,55.6,57.7,61.4,63.7,64.6,66.1,68,67.6,64.4,61.9,51.9,41.9
1600,64.3,64.6,65.5,64.8,64.4,62,57.5,52.6,54.7,58.4,60.7,61.6,63.2,64.9,64.7,61.5,59.1,49.1,39.1
2000,61.1,61.5,62.3,61.8,61.2,58.7,54.2,49.5,51.6,55.2,57.6,58.4,60.1,61.7,61.6,58.5,56.2,46.2,36.2
2500,57.9,58.2,58.9,58.5,57.8,55.3,50.8,46.2,48.3,51.9,54.4,55.1,56.8,58.2,58.3,55.4,53.1,43.1,33.1
3150,54.3,54.6,55.3,55.1,54.2,51.6,47.2,42.8,44.9,48.4,51,51.7,53.5,54.6,54.9,52.1,49.9,39.9,29.9
4000,50.6,50.9,51.5,51.4,50.3,47.8,43.3,39.3,41.4,44.8,47.4,48.1,49.9,50.8,51.4,48.8,46.5,36.5,26.5
5000,46.6,46.8,47.4,47.5,46.2,43.7,39.3,35.6,37.7,41,43.7,44.3,46.2,46.8,47.6,45.2,43,33,23
6300,42.2,42.4,43,43.2,41.8,39.4,35.2,31.8,33.9,37.1,39.7,40.4,42.4,42.7,43.6,41.5,39.4,29.4,19.4
8000,37.6,37.8,38.4,38.6,37.1,34.9,30.9,28,29.9,33.1,35.7,36.4,38.3,38.4,39.4,37.6,35.6,25.6,15.6
10000,32.7,32.8,33.5,33.7,32.1,30.3,26.6,24.1,25.7,29,31.6,32.2,34.2,34.1,35.1,33.4,31.7,21.7,11.7
12500,27.6,27.7,28.4,28.5,27,25.5,22.3,20.2,21.5,24.8,27.4,28.1,29.9,29.6,30.5,29.1,27.8,17.8,7.8
16000,22.6,22.6,23.2,23.3,21.8,20.7,18,16.4,17.2,20.8,23.2,23.9,25.6,25.2,25.8,24.7,23.9,13.9,3.9
20000,17.7,17.7,18.2,18.2,16.7,15.9,13.9,12.7,13,16.7,19,19.7,21.2,20.7,21.2,20.1,20.1,10.1,0.1
25000,12.9,13,13.3,13.2,11.7,11.2,9.9,9,8.9,12.7,14.8,15.5,16.7,16.2,16.5,15.6,16.1,6.1,-3.9
