S-3A&B,TF34-GE-400A/B,T5 disable (94% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,103.5,105,106.1,105.2,106.2,105.4,104.4,102.3,106.4,105.3,107,108.9,110.8,108.5,105.8,103.7,98.1,88.1,78.1
250,101.2,102.7,103.8,102.9,103.9,103.2,102.1,100,104.1,103,104.8,106.6,108.5,106.2,103.6,101.5,95.9,85.9,75.9
315,98.9,100.4,101.5,100.6,101.6,100.8,99.8,97.6,101.7,100.6,102.4,104.2,106.1,103.9,101.3,99.2,93.7,83.7,73.7
400,96.5,98,99.1,98.2,99.1,98.4,97.3,95.2,99.2,98.1,100,101.8,103.7,101.5,98.9,96.9,91.4,81.4,71.4
500,94,95.5,96.6,95.7,96.6,95.9,94.8,92.7,96.7,95.6,97.5,99.3,101.2,99,96.5,94.5,89.1,79.1,69.1
630,91.4,92.9,94,93.1,94,93.3,92.1,90,94,92.9,94.8,96.7,98.6,96.4,93.9,92,86.7,76.7,66.7
800,88.6,90.2,91.3,90.4,91.3,90.6,89.4,87.2,91.2,90,92.1,93.9,95.8,93.7,91.3,89.5,84.3,74.3,64.3
1000,85.8,87.3,88.4,87.5,88.4,87.7,86.4,84.3,88.2,87,89.2,91.1,92.9,90.9,88.7,86.8,81.8,71.8,61.8
1250,82.8,84.3,85.4,84.5,85.3,84.7,83.3,81.2,85,83.9,86.1,88,89.8,88,85.9,84.2,79.2,69.2,59.2
1600,79.6,81.1,82.3,81.3,82.1,81.5,80,77.9,81.5,80.5,82.9,84.8,86.6,85,83,81.4,76.6,66.6,56.6
2000,76.2,77.8,78.9,77.9,78.6,78.1,76.4,74.4,77.8,76.8,79.5,81.4,83.2,81.9,80.2,78.7,74,64,54
2500,72.6,74.2,75.4,74.3,75,74.5,72.6,70.6,73.8,73,76,77.9,79.6,78.8,77.3,76,71.4,61.4,51.4
3150,68.9,70.5,71.7,70.5,71.2,70.7,68.6,66.8,69.6,69,72.4,74.4,76.1,75.6,74.5,73.3,68.8,58.8,48.8
4000,65,66.7,67.9,66.7,67.3,66.8,64.5,62.9,65.2,65,68.8,70.9,72.6,72.6,71.7,70.6,66.2,56.2,46.2
5000,61.1,62.8,64,62.7,63.3,62.9,60.3,59.1,60.9,61,65.3,67.4,69.3,69.6,68.9,68,63.6,53.6,43.6
6300,57.3,58.9,60,58.8,59.4,58.9,56.1,55.4,56.7,57.3,61.9,64.1,66,66.7,66.2,65.4,61,51,41
8000,53.4,55.1,56.1,54.9,55.5,54.9,52.1,51.8,52.7,53.7,58.5,60.7,62.9,63.7,63.4,62.8,58.4,48.4,38.4
10000,49.7,51.3,52.1,51,51.5,50.8,48,48.2,48.9,50.1,55,57.3,59.6,60.6,60.5,60,55.6,45.6,35.6
12500,45.9,47.4,48,47.1,47.5,46.8,44,44.5,45.1,46.5,51.5,53.7,56.2,57.4,57.5,57.2,52.8,42.8,32.8
16000,42.2,43.5,43.9,43,43.3,42.6,39.9,40.7,41.3,42.8,47.9,50.1,52.7,54,54.4,54.2,49.8,39.8,29.8
20000,38.3,39.5,39.8,38.9,39.1,38.3,35.8,36.8,37.4,39,44,46.2,49,50.4,51.1,51.1,46.6,36.6,26.6
25000,34.3,35.3,35.4,34.6,34.7,34,31.6,32.8,33.3,35,40.1,42.2,45.1,46.6,47.6,47.8,43.3,33.3,23.3
