S-3A&B,TF34-GE-400A/B,Maximum power (96% NC),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,106,108.9,108.3,106.6,105.5,105.3,104.8,104.4,105.8,110.2,108.8,111.1,111.2,110.5,108.9,105.6,100.8,90.8,80.8
250,103.7,106.6,106,104.4,103.2,103,102.5,102.1,103.5,107.9,106.5,108.8,108.9,108.2,106.6,103.3,98.6,88.6,78.6
315,101.4,104.2,103.7,102,100.9,100.6,100.1,99.7,101.1,105.5,104.1,106.4,106.6,105.8,104.3,101.1,96.3,86.3,76.3
400,99,101.8,101.2,99.6,98.5,98.2,97.6,97.2,98.6,103.1,101.7,103.9,104.2,103.4,101.9,98.7,94.1,84.1,74.1
500,96.5,99.3,98.7,97.1,95.9,95.6,95.1,94.7,96,100.5,99.2,101.4,101.6,101,99.5,96.3,91.8,81.8,71.8
630,93.9,96.7,96.1,94.5,93.3,92.9,92.4,92,93.3,97.8,96.5,98.7,99,98.4,96.9,93.9,89.4,79.4,69.4
800,91.2,93.9,93.4,91.7,90.6,90.1,89.6,89.2,90.5,95,93.7,95.9,96.2,95.7,94.3,91.3,87,77,67
1000,88.3,91,90.5,88.8,87.7,87.1,86.6,86.1,87.4,92,90.8,93,93.4,92.9,91.6,88.7,84.5,74.5,64.5
1250,85.3,87.9,87.5,85.8,84.6,84,83.4,82.9,84.2,88.8,87.7,89.9,90.3,90,88.9,86.1,82,72,62
1600,82.1,84.6,84.3,82.5,81.4,80.6,79.9,79.5,80.7,85.5,84.5,86.6,87.1,86.9,86,83.4,79.5,69.5,59.5
2000,78.8,81.1,80.8,79.1,78.1,77,76.3,75.8,76.9,81.9,81.1,83.1,83.8,83.9,83.2,80.7,77,67,57
2500,75.3,77.4,77.2,75.5,74.5,73.1,72.4,71.9,72.8,78.1,77.6,79.6,80.4,80.8,80.4,78.1,74.5,64.5,54.5
3150,71.6,73.5,73.4,71.8,70.9,69.2,68.4,67.8,68.6,74.2,74,76,77,77.8,77.6,75.5,72,62,52
4000,68,69.6,69.6,68,67.2,65.3,64.3,63.7,64.3,70.4,70.5,72.5,73.8,74.8,74.9,73,69.5,59.5,49.5
5000,64.3,65.8,65.7,64.3,63.5,61.5,60.3,59.7,60.1,66.6,67,69.1,70.7,71.9,72.3,70.5,67,57,47
6300,60.6,62,61.8,60.6,59.7,57.8,56.4,56,56.3,63,63.7,65.8,67.6,69.1,69.6,68,64.4,54.4,44.4
8000,56.9,58.3,58,57,56,54.2,52.6,52.3,52.7,59.4,60.3,62.5,64.6,66.1,66.9,65.4,61.8,51.8,41.8
10000,53.1,54.5,54.2,53.2,52.2,50.6,48.8,48.8,49.1,55.7,56.9,59.2,61.4,63.1,64,62.7,59.1,49.1,39.1
12500,49.1,50.7,50.3,49.5,48.2,46.8,45.1,45.1,45.5,52,53.4,55.7,58,59.9,61,60,56.2,46.2,36.2
16000,45.1,46.8,46.3,45.6,44.2,42.9,41.3,41.5,41.8,48.2,49.7,52,54.5,56.6,57.9,57,53.2,43.2,33.2
20000,40.9,42.6,42.2,41.5,40,38.9,37.4,37.7,38.1,44.2,45.8,48.1,50.8,53.1,54.6,54,50,40,30
25000,36.5,38.3,37.8,37.3,35.7,34.7,33.6,33.8,34.2,40.2,41.7,44,46.9,49.3,51.1,50.7,46.5,36.5,26.5
