T-1,JT15D-5,Idle (31% NF),,,,,,,,,,,,,,,,,
(ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,90.5,87.6,95.5,88.9,79.4,85.5,86.8,86.7,89.3,82.6,78.4,83.1,79,78.4,77.7,75.9,75.5,71.3,65.2
250,87.9,85,92.9,86.3,76.8,83,84.2,84.1,86.7,80.1,75.8,80.6,76.5,75.9,75.2,73.4,73.1,68.8,62.6
315,85.2,82.3,90.1,83.6,74.1,80.3,81.5,81.4,84.1,77.4,73.1,77.9,73.8,73.2,72.5,70.8,70.5,66.2,60
400,82.3,79.4,87.2,80.6,71.3,77.5,78.6,78.6,81.3,74.6,70.2,75,70.9,70.3,69.7,68,67.8,63.5,57.2
500,79.2,76.2,84.1,77.5,68.2,74.5,75.4,75.5,78.2,71.6,67.1,72,67.9,67.3,66.7,65.1,64.9,60.7,54.2
630,75.8,72.9,80.7,74.2,65,71.3,72.1,72.2,75,68.4,63.8,68.7,64.7,64.1,63.6,62,61.9,57.7,51
800,72.2,69.3,76.9,70.6,61.6,67.8,68.4,68.7,71.4,64.9,60.3,65.2,61.3,60.7,60.2,58.7,58.8,54.6,47.7
1000,68.4,65.5,72.9,66.7,58,64.1,64.5,64.9,67.5,61.2,56.5,61.4,57.6,57,56.7,55.3,55.5,51.4,44.3
1250,64.3,61.5,68.4,62.6,54.3,60.2,60.2,60.8,63.2,57.3,52.5,57.3,53.8,53.2,53,51.7,52.2,48.1,40.8
1600,60,57.3,63.6,58.3,50.6,56.2,55.6,56.5,58.5,53.3,48.4,53,49.9,49.3,49.3,48.2,48.8,44.9,37.5
2000,55.8,53.2,58.5,54,47,52,51,52.2,53.5,49.5,44.5,48.5,46,45.5,45.7,44.8,45.5,41.7,34.4
2500,51.7,49.1,53.3,49.9,43.6,48,46.5,48.1,48.5,45.9,40.8,44,42.2,41.7,42.2,41.5,42.4,38.6,31.6
3150,47.8,45.2,48.2,45.9,40.4,44.2,42.5,44.5,44,42.6,37.4,39.7,38.6,38.2,38.9,38.3,39.3,35.7,29
4000,44.1,41.4,43.5,42.1,37.2,40.5,38.8,41.1,40.3,39.6,34.3,35.7,35,34.6,35.5,35.1,36.3,32.8,26.5
5000,40.5,37.7,39.2,38.4,34,36.9,35.3,37.8,37.1,36.5,31.3,31.8,31.5,31.2,32.2,32,33.2,29.9,24
6300,36.8,34,35.1,34.5,30.8,33.3,31.9,34.5,33.9,33.5,28.3,28.1,28,27.7,28.9,28.8,30.1,27,21.5
8000,33,30.4,31,30.6,27.5,29.7,28.4,31.1,30.6,30.3,25.4,24.5,24.6,24.4,25.6,25.6,27.1,24.1,19
10000,29.1,26.7,26.9,26.5,24.1,26.2,24.9,27.7,27.3,27,22.4,21,21.4,21.1,22.4,22.5,24,21.2,16.5
12500,25.2,23,22.9,22.5,20.7,22.6,21.4,24.1,23.9,23.7,19.4,17.7,18.3,18,19.3,19.4,21,18.3,14
16000,21.1,19.2,18.9,18.5,17.2,18.9,17.9,20.5,20.3,20.2,16.3,14.5,15.2,15,16.2,16.3,17.9,15.3,11.4
20000,17,15.4,15,14.6,13.6,15.2,14.3,16.7,16.5,16.5,13,11.2,12.1,11.9,13.1,13.2,14.8,12.3,8.6
25000,12.8,11.5,11.2,10.8,9.8,11.3,10.6,12.7,12.6,12.5,9.6,7.9,8.9,8.8,10,10,11.5,9.1,5.8
