T-1,JT15D-5,70% RPM Engine Runup (70% NF),,,,,,,,,,,,,,,,,
(ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,99.5,99.8,99.7,98.2,90.3,87.2,88.7,91.3,88.4,92.7,88.1,92.6,90.2,89,86.4,84.7,82.7,75.5,68.8
250,96.8,97,97.1,95.5,87.7,84.7,86.1,88.7,85.8,90,85.4,90,87.6,86.4,83.8,82.2,80.2,73,66.5
315,94,94.1,94.3,92.7,85,82,83.4,85.9,83.1,87.3,82.6,87.3,84.8,83.7,81.2,79.6,77.6,70.3,64.1
400,91,90.9,91.3,89.6,82.1,79.3,80.6,83,80.2,84.3,79.6,84.3,81.9,80.8,78.4,76.8,74.9,67.6,61.6
500,87.8,87.6,88.1,86.4,79.1,76.3,77.6,80,77.2,81.2,76.4,81.2,78.7,77.7,75.4,73.9,72,64.7,59.2
630,84.4,84,84.6,82.9,75.8,73.3,74.4,76.7,74,77.8,72.9,77.8,75.3,74.4,72.3,70.9,69.1,61.7,56.7
800,80.6,80.2,80.7,79.2,72.5,70.1,71,73.2,70.6,74.1,69.2,74.2,71.6,70.8,69,67.8,66,58.6,54.2
1000,76.6,76.2,76.6,75.2,68.9,66.8,67.5,69.5,67.1,70.2,65.1,70.3,67.7,67.1,65.7,64.7,62.9,55.5,51.8
1250,72.4,72.2,72.1,71.1,65.3,63.3,63.8,65.7,63.4,66.1,60.8,66.1,63.5,63.2,62.3,61.6,59.8,52.3,49.5
1600,68.2,68.2,67.5,66.9,61.6,59.8,60.2,61.8,59.8,61.9,56.4,61.7,59.2,59.2,59.1,58.6,56.8,49.2,47.2
2000,63.9,64.1,63,62.6,57.9,56.3,56.5,58,56.3,57.9,52.3,57.2,54.9,55.4,56,55.8,54,46.1,45
2500,59.8,60.1,58.6,58.5,54.3,52.7,52.9,54.3,53,54.1,48.5,52.9,51,51.8,53.2,53.2,51.4,43.3,42.8
3150,55.8,55.9,54.5,54.4,50.7,49.1,49.3,50.7,49.9,50.7,45.2,48.7,47.4,48.6,50.4,50.7,48.8,40.5,40.7
4000,51.8,51.7,50.3,50.2,46.9,45.6,45.7,47.3,46.8,47.4,42.2,44.8,44.1,45.5,47.8,48.2,46.4,37.8,38.5
5000,47.7,47.3,46.1,46,43.1,42,42,43.9,43.7,44.3,39.3,41.1,41,42.6,45.1,45.7,43.9,35.2,36.3
6300,43.6,42.9,41.6,41.6,39.1,38.4,38.3,40.5,40.5,41.1,36.4,37.7,38.1,39.8,42.5,43.2,41.4,32.7,34
8000,39.4,38.5,37.1,37,35,34.7,34.6,37.1,37.3,37.9,33.6,34.4,35.2,37,39.9,40.7,38.9,30.1,31.8
10000,35.1,34.1,32.5,32.3,30.8,31.1,30.9,33.6,34,34.6,30.7,31.2,32.3,34.2,37.2,38.2,36.4,27.5,29.4
12500,30.8,29.8,28,27.6,26.6,27.4,27.2,30.1,30.6,31.1,27.8,28,29.5,31.3,34.5,35.5,33.8,25,27
16000,26.6,25.6,23.8,23,22.4,23.7,23.6,26.5,27,27.6,24.8,24.9,26.5,28.4,31.7,32.8,31.1,22.3,24.6
20000,22.3,21.5,19.6,18.7,18.3,19.9,19.8,22.6,23.2,23.8,21.6,21.7,23.4,25.4,28.7,29.9,28.2,19.6,22.1
25000,18,17.2,15.5,14.5,14.1,15.9,16,18.6,19.2,19.9,18.2,18.4,20.2,22.3,25.6,26.9,25.2,16.7,19.4
