T-29,R-2800-103W,Magneto check (2050 RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,88.5,87.7,86.7,85.6,84.6,83.7,84.8,84.7,82.5,89.1,90.8,93.1,91.5,91.1,90.1,87.1,91.7,81.7,71.7
250,86.4,85.6,84.6,83.6,82.5,81.6,82.7,82.6,80.4,87,88.7,91.1,89.4,89,88,85.1,89.7,79.7,69.7
315,84.3,83.5,82.6,81.5,80.4,79.5,80.6,80.5,78.3,85,86.7,89,87.3,86.9,86,83,87.6,77.6,67.6
400,82.3,81.5,80.5,79.4,78.3,77.4,78.6,78.5,76.2,82.8,84.6,86.9,85.2,84.9,83.9,80.9,85.6,75.6,65.6
500,80.2,79.4,78.4,77.3,76.2,75.3,76.5,76.3,74,80.7,82.4,84.8,83.1,82.8,81.8,78.8,83.5,73.5,63.5
630,78.1,77.3,76.2,75.1,74.1,73.2,74.4,74.2,71.9,78.5,80.3,82.6,81,80.6,79.7,76.7,81.4,71.4,61.4
800,76,75.1,74.1,73,71.9,71,72.3,72.1,69.7,76.3,78.1,80.4,78.8,78.5,77.6,74.6,79.2,69.2,59.2
1000,73.8,73,71.9,70.8,69.7,68.8,70.1,69.9,67.4,74,75.8,78.2,76.6,76.3,75.5,72.4,77.1,67.1,57.1
1250,71.6,70.8,69.7,68.5,67.5,66.6,68,67.7,65.2,71.7,73.5,75.9,74.4,74.1,73.3,70.2,74.9,64.9,54.9
1600,69.4,68.5,67.4,66.2,65.3,64.3,65.8,65.5,62.9,69.3,71.2,73.5,72.1,71.8,71.1,67.9,72.7,62.7,52.7
2000,67.2,66.2,65.1,63.9,63,62,63.6,63.2,60.6,66.9,68.7,71.1,69.7,69.5,68.8,65.6,70.4,60.4,50.4
2500,64.9,63.9,62.8,61.5,60.6,59.6,61.4,60.9,58.2,64.3,66.2,68.6,67.3,67.1,66.5,63.3,68,58,48
3150,62.5,61.5,60.4,59.1,58.2,57.2,59.1,58.5,55.8,61.6,63.5,65.9,64.7,64.6,64.1,60.8,65.7,55.7,45.7
4000,60,59.1,57.9,56.5,55.7,54.7,56.8,56.1,53.4,58.8,60.7,63.1,62.1,62,61.6,58.3,63.2,53.2,43.2
5000,57.5,56.5,55.4,53.9,53.1,52.2,54.5,53.6,50.9,55.8,57.8,60.1,59.3,59.4,59,55.7,60.6,50.6,40.6
6300,54.9,53.9,52.7,51.2,50.4,49.5,52.1,51.1,48.3,52.7,54.7,57,56.5,56.6,56.3,53,58,48,38
8000,52.1,51.1,50,48.4,47.6,46.7,49.7,48.5,45.7,49.5,51.4,53.6,53.4,53.7,53.5,50.2,55.2,45.2,35.2
10000,49.2,48.2,47.1,45.4,44.6,43.8,47.2,45.8,42.9,46,47.8,49.9,50.2,50.6,50.6,47.2,52.3,42.3,32.3
12500,46.1,45.2,44,42.3,41.5,40.7,44.6,43,40.1,42.4,44.1,46,46.7,47.3,47.4,44,49.2,39.2,29.2
16000,42.8,41.9,40.8,39,38.2,37.5,41.9,40.2,37.1,38.7,40.2,41.7,43.1,43.8,44,40.7,46,36,26
20000,39.3,38.5,37.4,35.5,34.6,34.1,39.1,37.2,34,34.8,36,37.2,39.2,40,40.4,37.3,42.5,32.5,22.5
25000,35.6,34.8,33.7,31.8,30.9,30.6,36.1,34.1,30.8,30.8,31.6,32.4,35,36,36.5,33.5,38.7,28.7,18.7
