T-2C,J85-GE-4A,Maximum power (100% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,100,103.7,105.3,105.4,104.5,104.5,107.7,107.8,108.7,106.4,114,118.1,116.3,110.6,101.4,94.4,87.7,81,74.4
250,97.9,101.5,103.2,103.3,102.4,102.3,105.5,105.6,106.6,104.2,111.9,116,114.2,108.5,99.3,92.3,85.6,78.9,72.3
315,95.7,99.4,101,101.1,100.2,100.2,103.3,103.4,104.3,102,109.7,113.8,112,106.4,97.1,90.1,83.4,76.8,70.1
400,93.6,97.2,98.8,98.9,97.9,97.9,101,101.2,102,99.7,107.5,111.6,109.9,104.2,94.9,87.9,81.2,74.6,67.9
500,91.4,94.9,96.6,96.7,95.7,95.6,98.7,98.9,99.7,97.4,105.2,109.3,107.7,102.1,92.7,85.7,79,72.3,65.7
630,89.1,92.7,94.2,94.3,93.3,93.3,96.4,96.5,97.3,95.1,102.9,107,105.4,99.8,90.4,83.4,76.7,70,63.4
800,86.8,90.3,91.9,92,90.9,90.9,93.9,94,94.8,92.6,100.5,104.7,103.1,97.6,88.1,81.1,74.4,67.7,61.1
1000,84.5,87.9,89.4,89.5,88.4,88.4,91.4,91.5,92.2,90.1,98,102.3,100.8,95.3,85.7,78.6,72,65.3,58.6
1250,82,85.4,86.9,86.9,85.8,85.8,88.7,88.9,89.6,87.5,95.4,99.8,98.4,92.9,83.3,76.2,69.5,62.8,56.2
1600,79.5,82.8,84.2,84.3,83.1,83.1,86,86.1,86.8,84.8,92.8,97.2,95.9,90.5,80.7,73.6,66.9,60.2,53.6
2000,76.8,80,81.4,81.5,80.3,80.3,83.1,83.2,83.9,82,90,94.5,93.3,87.9,78.1,70.9,64.2,57.5,50.9
2500,74,77.2,78.5,78.5,77.3,77.3,80.1,80.2,80.8,79,87.1,91.8,90.7,85.3,75.4,68.1,61.4,54.8,48.1
3150,71.1,74.1,75.4,75.4,74.1,74.2,76.8,77,77.6,76,84.1,88.9,87.9,82.6,72.6,65.2,58.5,51.8,45.2
4000,68,70.9,72,72.2,70.8,70.9,73.4,73.7,74.2,72.7,80.9,85.8,85,79.8,69.7,62.1,55.4,48.7,42.1
5000,64.6,67.4,68.5,68.7,67.2,67.4,69.8,70.1,70.7,69.4,77.6,82.6,82,76.9,66.7,58.9,52.2,45.5,38.9
6300,61.1,63.7,64.7,65,63.5,63.7,66,66.3,66.9,65.8,74,79.2,78.9,73.8,63.5,55.4,48.8,42.1,35.4
8000,57.3,59.8,60.8,61.1,59.5,59.8,62,62.3,63,62.1,70.3,75.6,75.5,70.5,60.3,51.8,45.1,38.4,31.8
10000,53.3,55.6,56.6,57,55.3,55.8,57.7,58.1,58.9,58.2,66.3,71.7,72,67.1,56.9,48,41.3,34.6,28
12500,49.1,51.1,52.3,52.7,50.9,51.5,53.3,53.7,54.7,54.1,62.1,67.7,68.3,63.5,53.4,44,37.3,30.6,24
16000,44.6,46.5,47.8,48.3,46.4,47,48.6,49.1,50.2,49.8,57.6,63.3,64.3,59.6,49.6,39.9,33.2,26.5,19.9
20000,40,41.7,43.1,43.6,41.6,42.3,43.7,44.3,45.5,45.2,52.8,58.7,60,55.4,45.7,35.8,29.1,22.4,15.8
25000,35.2,36.6,38.2,38.6,36.7,37.3,38.6,39.3,40.7,40.4,47.6,53.7,55.3,51,41.4,31.6,24.9,18.2,11.6
