T-2C,J85-GE-4A,Idle (50% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,90.7,91.3,91.2,90.3,88.5,85,84.5,83,79.5,75.9,82.7,83.8,83.6,80.4,76,70.6,64,57.3,50.6
250,88.3,88.9,88.8,87.8,86,82.6,82.1,80.6,77.2,73.7,80.5,81.6,81.4,78.3,73.9,68.5,61.8,55.1,48.5
315,85.7,86.3,86.3,85.3,83.4,80,79.6,78.1,74.9,71.5,78.2,79.4,79.3,76.1,71.7,66.3,59.6,52.9,46.3
400,83.1,83.6,83.6,82.6,80.8,77.4,77,75.6,72.5,69.2,75.9,77.1,77,74,69.5,64.1,57.4,50.7,44.1
500,80.3,80.8,80.8,79.8,77.9,74.6,74.3,72.9,70.1,66.8,73.5,74.8,74.8,71.8,67.3,61.9,55.2,48.5,41.9
630,77.4,77.8,77.9,76.9,75,71.7,71.5,70.2,67.6,64.5,71.1,72.5,72.5,69.5,65.1,59.6,52.9,46.2,39.6
800,74.3,74.5,74.7,73.8,71.8,68.6,68.5,67.3,65.1,62,68.6,70.1,70.1,67.3,62.8,57.3,50.7,44,37.3
1000,70.9,71.1,71.3,70.4,68.4,65.4,65.4,64.4,62.5,59.5,66.1,67.6,67.7,65,60.6,55,48.3,41.7,35
1250,67.3,67.4,67.5,66.9,64.8,62,62.2,61.3,59.8,57,63.5,65.1,65.3,62.6,58.2,52.7,46,39.3,32.7
1600,63.4,63.5,63.5,63.1,61,58.4,58.9,58.2,57.1,54.5,60.8,62.5,62.8,60.2,55.9,50.3,43.7,37,30.3
2000,59.4,59.3,59.3,59.1,57.1,54.8,55.6,54.9,54.4,51.8,58.1,59.9,60.2,57.8,53.5,47.9,41.3,34.6,27.9
2500,55.2,54.9,54.9,55.1,53,51.2,52.2,51.7,51.5,49.2,55.3,57.1,57.5,55.3,51,45.5,38.8,32.1,25.5
3150,50.9,50.6,50.6,51.1,49,47.6,48.8,48.4,48.6,46.5,52.4,54.3,54.8,52.7,48.5,43,36.3,29.6,23
4000,46.8,46.4,46.5,47.3,45.2,44.1,45.4,45,45.6,43.7,49.5,51.4,52,50.1,45.9,40.5,33.8,27.1,20.5
5000,42.7,42.4,42.7,43.4,41.4,40.6,42.1,41.7,42.5,40.8,46.4,48.4,49,47.3,43.3,37.9,31.2,24.5,17.9
6300,38.5,38.3,38.9,39.6,37.7,37.3,38.6,38.2,39.4,37.9,43.3,45.2,45.9,44.4,40.6,35.3,28.6,21.9,15.3
8000,34.3,34.3,35.2,35.8,34,33.9,35.2,34.7,36.1,34.9,40.1,41.9,42.8,41.4,37.8,32.5,25.8,19.1,12.5
10000,30.1,30.4,31.4,31.9,30.3,30.7,31.7,31.2,32.7,31.8,36.7,38.5,39.4,38.3,34.9,29.7,23,16.3,9.7
12500,26,26.5,27.7,28.1,26.7,27.4,28.1,27.6,29.2,28.6,33.2,35,36,35,32,26.9,20.2,13.5,6.9
16000,22,22.7,23.9,24.3,23,24.1,24.5,24,25.6,25.3,29.6,31.3,32.3,31.6,28.9,23.9,17.2,10.5,3.9
20000,17.9,18.8,20.1,20.4,19.2,20.7,20.7,20.3,21.8,21.8,25.7,27.5,28.6,28.1,25.8,20.9,14.2,7.5,0.9
25000,13.8,14.7,16,16.5,15.3,17.1,16.9,16.5,17.9,18.2,21.7,23.6,24.7,24.4,22.4,17.7,11,4.3,-2.3
