T-33A,J33-A-35,Idle (35% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,78.4,76.4,80.3,83.9,82.3,78.5,80,80.2,81.2,82.2,83.5,86.7,81.5,82.9,80.7,79.1,74.6,64.6,54.6
250,76.2,74.2,78.2,81.8,80.2,76.4,77.9,78.2,79.1,80.1,81.4,84.6,79.4,80.8,78.6,77,72.5,62.5,52.5
315,74,72.1,76,79.7,78.1,74.3,75.8,76,77,78,79.2,82.5,77.3,78.7,76.6,74.9,70.3,60.3,50.3
400,71.8,69.9,73.9,77.5,75.9,72.1,73.6,73.9,74.9,75.9,77.1,80.3,75.2,76.6,74.5,72.8,68.2,58.2,48.2
500,69.5,67.7,71.7,75.3,73.7,69.9,71.5,71.8,72.7,73.7,74.9,78.1,73.1,74.5,72.3,70.6,66,56,46
630,67.2,65.5,69.4,73.1,71.5,67.7,69.2,69.6,70.6,71.5,72.7,75.8,70.9,72.4,70.2,68.5,63.8,53.8,43.8
800,64.8,63.2,67.1,70.7,69.2,65.4,67,67.4,68.4,69.3,70.4,73.5,68.7,70.2,68,66.2,61.5,51.5,41.5
1000,62.4,60.8,64.8,68.4,66.8,63.1,64.7,65.1,66.1,67,68.1,71.1,66.5,68,65.8,64,59.1,49.1,39.1
1250,59.9,58.4,62.3,65.9,64.4,60.8,62.3,62.8,63.8,64.7,65.8,68.7,64.2,65.7,63.6,61.7,56.6,46.6,36.6
1600,57.3,55.9,59.8,63.3,61.8,58.3,59.8,60.4,61.5,62.3,63.3,66.2,61.8,63.4,61.3,59.3,54,44,34
2000,54.6,53.4,57.2,60.6,59.2,55.8,57.2,57.9,59,59.8,60.8,63.7,59.4,61,59,56.8,51.3,41.3,31.3
2500,51.8,50.7,54.4,57.8,56.4,53.2,54.6,55.4,56.5,57.2,58.2,61,56.9,58.6,56.6,54.3,48.4,38.4,28.4
3150,49,48,51.5,54.7,53.4,50.5,51.8,52.8,53.9,54.5,55.6,58.3,54.2,56,54.1,51.6,45.3,35.3,25.3
4000,46,45.1,48.5,51.4,50.2,47.6,48.9,50.1,51.2,51.6,52.8,55.5,51.5,53.4,51.6,48.9,41.9,31.9,21.9
5000,43,42.2,45.3,47.8,46.8,44.7,45.8,47.2,48.4,48.7,49.9,52.6,48.7,50.7,49,46.1,38.3,28.3,18.3
6300,39.9,39.1,41.9,44,43.3,41.6,42.6,44.3,45.4,45.6,46.9,49.5,45.6,47.8,46.3,43.1,34.3,24.3,14.3
8000,36.7,35.9,38.3,40,39.5,38.4,39.3,41.2,42.3,42.3,43.7,46.3,42.5,44.8,43.5,40.1,30.1,20.1,10.1
10000,33.5,32.7,34.7,35.8,35.7,35,35.9,38,39.1,39,40.4,43,39.1,41.7,40.6,37.1,25.7,15.7,5.7
12500,30.2,29.3,31.1,31.6,32,31.6,32.5,34.6,35.7,35.5,37,39.4,35.5,38.5,37.7,34,21.5,11.5,1.5
16000,26.9,25.8,27.4,27.6,28.2,28,28.9,31.1,32.1,31.9,33.4,35.7,31.7,35,34.5,30.7,17.7,7.7,-2.3
20000,23.4,22.2,23.6,23.7,24.4,24.3,25.2,27.5,28.4,28.2,29.6,31.8,27.7,31.4,31.2,27.3,14.3,4.3,-5.7
25000,19.8,18.5,19.8,19.8,20.6,20.4,21.4,23.7,24.5,24.3,25.6,27.7,23.4,27.6,27.6,23.7,11.1,1.1,-8.9
