T-34,PT6A-25,80% torque (96% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,91.1,91.9,85.5,89.3,88.7,91.6,93.7,93.7,93.9,93.3,93.6,92.9,92.6,92.8,92.4,91.4,86.6,65.3,69.8
250,89,89.7,83.3,87,86.4,89.3,91.4,91.5,91.8,91.2,91.5,90.8,90.5,90.6,90.2,89.2,84.4,63.1,67.7
315,86.8,87.5,81,84.6,84,87,89.1,89.3,89.6,89.1,89.4,88.7,88.3,88.4,88,86.9,82.1,60.9,65.5
400,84.6,85.3,78.6,82.2,81.6,84.6,86.7,87,87.4,87,87.2,86.5,86.2,86.2,85.8,84.7,79.8,58.6,63.4
500,82.3,83,76.2,79.7,79.1,82.1,84.3,84.7,85.2,84.8,85,84.3,83.9,83.9,83.4,82.3,77.4,56.3,61.2
630,80,80.6,73.8,77,76.5,79.5,81.8,82.3,82.9,82.6,82.8,82.1,81.6,81.5,81.1,79.9,74.9,53.9,59.1
800,77.6,78.2,71.3,74.3,73.8,76.7,79.1,79.8,80.6,80.4,80.6,79.8,79.3,79.1,78.6,77.5,72.4,51.5,56.9
1000,75.2,75.7,68.7,71.5,71,73.9,76.4,77.3,78.2,78.2,78.3,77.5,76.9,76.6,76.1,74.9,69.7,49,54.7
1250,72.7,73.1,66,68.6,68,71,73.5,74.7,75.8,75.9,76,75.2,74.5,74,73.4,72.2,67,46.5,52.4
1600,70.1,70.5,63.3,65.6,65,67.8,70.5,72,73.4,73.6,73.7,72.8,72,71.3,70.7,69.4,64.1,43.9,50.2
2000,67.4,67.7,60.5,62.5,61.9,64.6,67.4,69.3,70.9,71.3,71.3,70.4,69.5,68.6,67.9,66.4,61,41.2,47.9
2500,64.7,64.9,57.7,59.4,58.7,61.2,64.3,66.5,68.5,68.9,69,68,66.9,65.7,64.9,63.4,57.8,38.4,45.7
3150,61.8,61.9,54.8,56.2,55.4,57.7,61,63.7,66,66.6,66.6,65.5,64.2,62.8,61.8,60.2,54.5,35.5,43.3
4000,58.8,58.8,51.9,53,52.1,54.1,57.7,60.9,63.4,64.2,64.1,63,61.6,59.8,58.7,56.8,50.9,32.6,41
5000,55.7,55.6,48.9,49.8,48.8,50.5,54.4,58,60.9,61.8,61.7,60.5,58.9,56.8,55.4,53.4,47.3,29.5,38.7
6300,52.3,52.2,45.8,46.5,45.5,47,51.2,55.3,58.3,59.3,59.2,58,56.3,53.9,52.2,49.9,43.5,26.4,36.3
8000,48.9,48.6,42.7,43.2,42.2,43.5,48.2,52.5,55.7,56.8,56.7,55.5,53.6,50.9,49,46.4,39.6,23.2,33.8
10000,45.2,44.8,39.4,39.8,38.9,40.2,45.2,49.7,53,54.2,54.1,52.9,51,48,45.9,43.1,35.8,19.9,31.3
12500,41.4,40.8,35.9,36.3,35.4,36.9,42.3,46.9,50.2,51.5,51.5,50.3,48.3,45.2,42.9,39.9,32.2,16.5,28.8
16000,37.3,36.6,32.3,32.6,31.8,33.5,39.3,43.9,47.3,48.7,48.7,47.5,45.6,42.3,39.9,36.7,28.6,13.1,26.2
20000,32.9,32.2,28.5,28.6,28,30,36.1,40.7,44.2,45.7,45.7,44.6,42.7,39.4,36.8,33.5,25.2,9.6,23.4
25000,28.3,27.5,24.4,24.3,23.8,26.2,32.8,37.4,40.9,42.6,42.6,41.5,39.6,36.2,33.5,30.2,21.7,5.9,20.6
