T-38A,J85-GE-5A,Maximum power A/B (100% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,95.4,97.1,97.8,99.4,102.2,102.9,103.5,107.1,106.2,110.3,112.7,117.6,123.1,125.1,121.7,116.3,85.9,82.9,80.1
250,93.2,95,95.7,97.2,100.1,100.8,101.4,105,104.1,108.2,110.6,115.5,121,123,119.7,114.2,83.8,80.8,78
315,91.1,92.8,93.5,95.1,98,98.6,99.3,102.8,101.9,106,108.5,113.4,118.9,120.9,117.6,112.1,81.8,78.7,75.9
400,88.9,90.5,91.3,92.9,95.8,96.5,97.1,100.7,99.8,103.9,106.3,111.3,116.8,118.8,115.5,110,79.7,76.6,73.7
500,86.6,88.2,89.1,90.7,93.6,94.2,95,98.5,97.6,101.7,104.2,109.1,114.7,116.6,113.4,107.9,77.6,74.5,71.6
630,84.4,85.9,86.8,88.5,91.4,92,92.8,96.2,95.4,99.4,102,106.9,112.5,114.5,111.3,105.8,75.4,72.3,69.4
800,82.1,83.6,84.5,86.2,89.1,89.7,90.6,93.9,93.1,97.1,99.7,104.6,110.4,112.3,109.1,103.6,73.2,70.1,67.1
1000,79.8,81.2,82.2,83.9,86.8,87.4,88.3,91.6,90.8,94.8,97.4,102.3,108.1,110,106.9,101.4,71,67.9,64.8
1250,77.4,78.8,79.8,81.5,84.5,85,86,89.2,88.4,92.3,95.1,99.9,105.8,107.7,104.6,99.2,68.8,65.6,62.5
1600,75,76.3,77.4,79.1,82,82.5,83.6,86.7,85.9,89.8,92.7,97.4,103.5,105.3,102.3,96.9,66.5,63.3,60.1
2000,72.5,73.8,75,76.6,79.5,80,81.1,84.2,83.4,87.2,90.2,94.9,101.1,102.9,99.9,94.5,64.2,60.9,57.7
2500,70,71.2,72.4,74.1,76.9,77.4,78.6,81.6,80.8,84.6,87.6,92.3,98.6,100.4,97.5,92.1,61.8,58.4,55.2
3150,67.4,68.6,69.8,71.4,74.3,74.7,75.9,78.8,78,81.8,84.9,89.5,96,97.8,94.9,89.5,59.3,55.9,52.6
4000,64.7,65.8,67.1,68.7,71.5,71.8,73.2,76,75.2,78.8,82.1,86.6,93.3,95,92.2,86.9,56.7,53.3,49.9
5000,61.8,63,64.3,65.8,68.5,68.9,70.3,73,72.2,75.8,79.1,83.6,90.4,92.1,89.4,84.1,54.1,50.6,47.1
6300,58.9,60,61.3,62.8,65.4,65.8,67.2,69.8,69.1,72.6,75.9,80.3,87.3,89,86.4,81.2,51.3,47.8,44.2
8000,55.8,56.8,58.2,59.6,62.2,62.5,64,66.4,65.8,69.2,72.5,76.9,84.1,85.7,83.3,78.1,48.4,44.9,41.2
10000,52.5,53.5,54.9,56.3,58.7,59.1,60.5,62.9,62.3,65.6,68.8,73.3,80.6,82.1,79.8,74.8,45.4,41.8,38.1
12500,49.1,50,51.4,52.7,54.9,55.4,56.8,59.1,58.5,61.7,64.9,69.4,76.8,78.3,76.1,71.3,42.2,38.5,34.8
16000,45.4,46.2,47.6,48.8,50.9,51.5,52.9,55,54.5,57.7,60.7,65.2,72.6,74.2,72.1,67.6,38.8,35.1,31.4
20000,41.6,42.2,43.7,44.8,46.6,47.3,48.6,50.7,50.3,53.3,56.2,60.8,68.1,69.8,67.8,63.7,35.2,31.5,27.7
25000,37.5,38,39.5,40.4,42,42.9,44.1,46.2,45.7,48.6,51.4,56,63.3,65,63.2,59.5,31.5,27.7,23.9
