T-38A,J85-GE-5A,Engine runup (75% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,84.7,85.1,84,83.8,83,83.7,81.5,79.4,77.5,78.2,80.1,81.8,83.4,83.1,82.2,81.2,78,68,58
250,82.3,82.7,81.6,81.4,80.7,81.5,79.3,77.1,75.3,76.1,78,79.7,81.3,81,80.1,79.1,75.9,65.9,55.9
315,79.8,80.2,79.1,78.9,78.3,79.1,77.1,74.9,73.1,74,75.9,77.6,79.2,78.9,77.9,76.9,73.8,63.8,53.8
400,77.2,77.6,76.6,76.4,75.9,76.8,74.8,72.5,70.8,71.9,73.8,75.4,77.1,76.8,75.7,74.7,71.6,61.6,51.6
500,74.6,74.9,74,73.8,73.4,74.3,72.5,70.2,68.5,69.8,71.7,73.3,74.9,74.6,73.5,72.5,69.5,59.5,49.5
630,71.8,72.1,71.4,71.2,70.9,71.9,70.1,67.8,66.2,67.6,69.5,71.1,72.7,72.5,71.3,70.2,67.3,57.3,47.3
800,69,69.3,68.6,68.5,68.3,69.3,67.8,65.4,63.8,65.4,67.4,68.9,70.5,70.3,69,67.9,65,55,45
1000,66.2,66.5,65.9,65.7,65.7,66.8,65.4,63,61.4,63.2,65.2,66.6,68.2,68,66.6,65.6,62.8,52.8,42.8
1250,63.3,63.6,63.2,63,63.1,64.2,63,60.5,59.1,60.9,62.9,64.3,65.9,65.7,64.2,63.2,60.5,50.5,40.5
1600,60.5,60.8,60.5,60.3,60.5,61.6,60.5,58,56.7,58.7,60.6,61.9,63.5,63.4,61.8,60.7,58.2,48.2,38.2
2000,57.8,58.1,57.9,57.6,57.9,59,58.1,55.5,54.3,56.3,58.3,59.5,61.1,61,59.3,58.3,55.9,45.9,35.9
2500,55,55.4,55.2,54.9,55.3,56.3,55.6,53,51.8,54,56,57.1,58.6,58.5,56.7,55.8,53.5,43.5,33.5
3150,52.2,52.6,52.5,52.2,52.7,53.7,53,50.4,49.4,51.6,53.5,54.5,56,56,54.1,53.2,51.1,41.1,31.1
4000,49.3,49.8,49.8,49.5,50,51,50.5,47.8,46.9,49.1,51.1,51.9,53.3,53.4,51.4,50.6,48.7,38.7,28.7
5000,46.4,46.9,47,46.7,47.3,48.3,47.8,45.1,44.4,46.5,48.5,49.3,50.6,50.7,48.7,48,46.1,36.1,26.1
6300,43.4,43.9,44.1,43.8,44.5,45.5,45.2,42.4,41.8,43.9,45.9,46.5,47.7,47.9,45.9,45.4,43.5,33.5,23.5
8000,40.2,40.7,41.1,40.9,41.6,42.7,42.4,39.6,39.1,41.1,43.2,43.7,44.8,45.1,43,42.7,40.8,30.8,20.8
10000,36.9,37.3,38,37.8,38.6,39.7,39.5,36.7,36.4,38.3,40.4,40.7,41.8,42.1,40.1,39.9,38,28,18
12500,33.5,33.8,34.7,34.6,35.4,36.7,36.5,33.6,33.4,35.3,37.4,37.7,38.6,39,37,37.1,35.1,25.1,15.1
16000,29.9,30.1,31.2,31.2,32.1,33.4,33.3,30.4,30.4,32.1,34.3,34.4,35.3,35.7,33.8,34.1,31.9,21.9,11.9
20000,26.1,26.2,27.5,27.7,28.6,30,29.9,27.1,27.1,28.8,31,31,31.8,32.2,30.5,30.9,28.6,18.6,8.6
25000,22.2,22.1,23.6,23.9,24.9,26.4,26.3,23.5,23.6,25.3,27.4,27.4,28.1,28.5,27,27.6,25.1,15.1,5.1
