T-38A,J85-GE-5A,Trim check (94% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,90.1,90.9,91.1,91.2,91.9,92.5,92.3,93.1,93.5,94.2,98.1,99.9,102.5,104.6,104.5,104.5,102.8,79.6,59.6
250,88,88.8,89,89.1,89.8,90.4,90.2,91,91.4,92.1,96,97.8,100.3,102.5,102.5,102.5,100.7,77.6,57.6
315,85.9,86.7,86.9,86.9,87.7,88.3,88,88.8,89.2,89.9,93.8,95.6,98.2,100.4,100.4,100.4,98.7,75.5,55.5
400,83.7,84.5,84.7,84.8,85.5,86.1,85.8,86.6,87,87.7,91.6,93.4,96,98.3,98.3,98.3,96.6,73.4,53.4
500,81.5,82.3,82.5,82.6,83.3,83.9,83.6,84.4,84.8,85.5,89.4,91.2,93.8,96.1,96.2,96.2,94.5,71.3,51.3
630,79.2,80.1,80.3,80.4,81.1,81.6,81.3,82.1,82.5,83.3,87.1,88.9,91.6,93.9,94,94.1,92.4,69.2,49.2
800,77,77.8,78.1,78.1,78.8,79.3,79,79.8,80.2,80.9,84.8,86.6,89.3,91.7,91.9,91.9,90.3,67.1,47.1
1000,74.6,75.5,75.8,75.8,76.5,77,76.6,77.4,77.8,78.6,82.4,84.2,86.9,89.4,89.6,89.7,88.1,64.9,44.9
1250,72.2,73.1,73.4,73.4,74.1,74.6,74.2,75,75.4,76.2,79.9,81.7,84.5,87.1,87.4,87.5,85.9,62.7,42.7
1600,69.7,70.7,71,71,71.7,72.2,71.6,72.5,72.9,73.7,77.4,79.2,82,84.7,85.1,85.2,83.6,60.4,40.4
2000,67.2,68.2,68.5,68.5,69.2,69.6,69.1,69.9,70.4,71.1,74.7,76.5,79.4,82.2,82.7,82.8,81.3,58.1,38.1
2500,64.5,65.6,66,65.9,66.6,67,66.4,67.3,67.7,68.5,72.1,73.8,76.7,79.6,80.2,80.4,78.9,55.7,35.7
3150,61.8,62.8,63.3,63.3,63.9,64.3,63.7,64.5,65.1,65.8,69.3,71,73.9,77,77.7,77.9,76.4,53.3,33.3
4000,58.9,60,60.6,60.5,61.1,61.6,60.9,61.7,62.3,63,66.4,68,70.9,74.3,75.1,75.3,73.8,50.7,30.7
5000,55.9,57.1,57.7,57.6,58.2,58.7,58,58.8,59.4,60.1,63.5,65,67.9,71.4,72.3,72.6,71.1,48.1,28.1
6300,52.8,54,54.7,54.6,55.2,55.6,55,55.8,56.5,57.1,60.4,61.8,64.7,68.5,69.5,69.8,68.3,45.3,25.3
8000,49.5,50.7,51.5,51.4,52,52.5,51.8,52.7,53.4,54,57.3,58.5,61.5,65.4,66.5,66.8,65.3,42.4,22.4
10000,46.1,47.2,48.1,48,48.6,49.1,48.5,49.4,50.2,50.8,54,55.1,58,62.1,63.3,63.7,62.1,39.4,19.4
12500,42.4,43.5,44.4,44.4,45,45.5,45,45.9,46.8,47.4,50.6,51.6,54.5,58.7,60,60.5,58.6,36.3,16.3
16000,38.6,39.6,40.6,40.6,41.2,41.8,41.4,42.2,43.2,43.9,47,47.9,50.8,55.1,56.4,57,54.9,33,13
20000,34.5,35.4,36.4,36.5,37.1,37.7,37.5,38.3,39.3,40.1,43.2,44,47,51.3,52.7,53.4,50.9,29.5,9.5
25000,30.2,30.9,31.9,32.1,32.7,33.3,33.3,34.1,35.2,36.1,39.1,39.9,42.9,47.2,48.7,49.5,46.6,25.9,5.9
