T-38,J85-GE-5A,Engine runup (75% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,80,78.4,78.3,79,77.4,75.5,73.8,73,77,72.7,77.3,76.9,75.1,72,75.4,77.2,75.5,73.7,71.3
250,77.8,76.2,76.2,76.9,75.3,73.4,71.7,70.9,75,70.6,75.2,74.8,73,69.9,73.1,74.8,73.2,71.4,69
315,75.6,74.1,74.1,74.8,73.3,71.4,69.6,68.8,73,68.5,73.1,72.6,70.9,67.7,70.7,72.4,70.8,69,66.8
400,73.3,71.9,72.1,72.7,71.2,69.3,67.5,66.6,70.9,66.5,71.1,70.5,68.8,65.5,68.3,69.8,68.3,66.6,64.5
500,71,69.7,70,70.6,69.1,67.3,65.4,64.5,68.9,64.4,69,68.3,66.6,63.2,65.8,67.2,65.7,64.1,62.1
630,68.7,67.4,67.8,68.4,67,65.2,63.2,62.3,66.8,62.3,66.9,66,64.5,61,63.3,64.5,63.1,61.5,59.7
800,66.4,65.2,65.7,66.2,64.8,63.1,61.1,60.1,64.7,60.1,64.8,63.8,62.3,58.6,60.6,61.7,60.4,58.9,57.3
1000,64.1,62.9,63.5,64,62.6,60.9,58.9,57.8,62.6,58,62.6,61.5,60.1,56.3,58,58.8,57.6,56.2,54.8
1250,61.7,60.6,61.3,61.8,60.4,58.8,56.7,55.5,60.5,55.8,60.4,59.2,57.9,53.9,55.3,55.9,54.8,53.4,52.4
1600,59.3,58.3,59.1,59.6,58.2,56.6,54.5,53.2,58.4,53.6,58.2,56.9,55.6,51.5,52.6,52.9,51.9,50.6,49.8
2000,56.9,56,56.9,57.3,55.9,54.4,52.2,50.9,56.2,51.3,56,54.6,53.3,49,50,50,49.1,47.8,47.3
2500,54.5,53.6,54.6,55,53.6,52.1,49.9,48.5,53.9,49,53.7,52.2,51,46.5,47.3,47.1,46.2,45,44.7
3150,52,51.1,52.2,52.6,51.2,49.8,47.5,46,51.6,46.7,51.4,49.8,48.7,43.9,44.7,44.3,43.4,42.1,42.1
4000,49.5,48.7,49.8,50.2,48.8,47.4,45.1,43.5,49.3,44.2,49,47.3,46.2,41.3,42,41.5,40.5,39.2,39.4
5000,46.9,46.1,47.2,47.7,46.2,44.9,42.6,41,46.8,41.7,46.5,44.8,43.7,38.7,39.3,38.7,37.5,36.2,36.6
6300,44.2,43.4,44.6,45,43.6,42.3,39.9,38.3,44.3,39.2,43.9,42.2,41.2,36,36.5,35.8,34.5,33.1,33.8
8000,41.4,40.7,41.8,42.3,40.9,39.6,37.2,35.5,41.6,36.5,41.2,39.5,38.5,33.2,33.6,32.9,31.4,30,30.9
10000,38.4,37.7,38.9,39.4,38,36.8,34.3,32.6,38.8,33.6,38.3,36.7,35.7,30.3,30.6,29.9,28.3,26.9,27.9
12500,35.3,34.6,35.7,36.3,35,33.8,31.3,29.5,35.8,30.6,35.2,33.8,32.8,27.3,27.5,26.8,25,23.7,24.7
16000,31.9,31.3,32.3,33,31.7,30.6,28,26.3,32.5,27.4,31.9,30.6,29.6,24.2,24.3,23.6,21.6,20.5,21.5
20000,28.3,27.8,28.7,29.4,28.2,27.1,24.5,22.8,28.9,23.9,28.3,27.2,26.3,20.9,20.8,20.2,18.1,17.2,18.2
25000,24.4,23.9,24.7,25.5,24.4,23.4,20.9,19.1,25,20.2,24.3,23.5,22.7,17.4,17.2,16.7,14.5,13.9,14.7
