T-39A,J60-P-3A,Military power (100% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,97.5,99.2,100.9,98.4,98.1,97.9,97.5,97.9,99.6,101,101.1,104.7,105.5,100.6,103.1,98,89.7,79.7,69.7
250,95.2,96.9,98.7,96.2,95.8,95.7,95.2,95.7,97.4,98.8,98.9,102.5,103.4,98.5,101,95.8,87.6,77.6,67.6
315,92.9,94.6,96.3,94,93.5,93.4,93,93.5,95.2,96.6,96.6,100.3,101.2,96.3,98.8,93.7,85.4,75.4,65.4
400,90.5,92.2,94,91.7,91.1,91.1,90.7,91.2,92.9,94.2,94.3,98,98.9,94.1,96.6,91.5,83.2,73.2,63.2
500,88,89.8,91.5,89.3,88.7,88.7,88.3,88.9,90.6,91.9,92,95.7,96.6,91.9,94.3,89.3,81,71,61
630,85.5,87.4,89,86.9,86.2,86.3,85.9,86.5,88.2,89.4,89.6,93.3,94.3,89.6,92,87,78.8,68.8,58.8
800,83,84.9,86.5,84.5,83.6,83.7,83.4,84.1,85.7,86.9,87.1,90.8,91.9,87.2,89.7,84.6,76.5,66.5,56.5
1000,80.4,82.4,83.9,82,81,81.1,80.8,81.6,83.2,84.3,84.5,88.3,89.4,84.8,87.2,82.2,74.1,64.1,54.1
1250,77.9,79.8,81.3,79.5,78.3,78.4,78.2,79,80.6,81.6,81.8,85.6,86.8,82.4,84.7,79.8,71.7,61.7,51.7
1600,75.3,77.2,78.6,76.9,75.5,75.7,75.4,76.3,77.9,78.8,79,82.9,84.2,79.8,82.1,77.2,69.2,59.2,49.2
2000,72.6,74.6,75.9,74.2,72.7,72.8,72.6,73.4,75.1,75.9,76,80,81.4,77.2,79.4,74.5,66.6,56.6,46.6
2500,69.9,71.9,73.1,71.4,69.7,69.8,69.6,70.5,72.2,72.8,73,77,78.5,74.6,76.6,71.8,64,54,44
3150,67.2,69.1,70.3,68.6,66.7,66.6,66.5,67.4,69.2,69.7,69.7,73.9,75.5,71.8,73.7,68.9,61.2,51.2,41.2
4000,64.4,66.2,67.3,65.6,63.5,63.4,63.2,64.1,66,66.3,66.3,70.6,72.4,69,70.7,65.9,58.3,48.3,38.3
5000,61.4,63.3,64.1,62.4,60.2,59.9,59.8,60.7,62.7,62.8,62.8,67.1,69.1,66.1,67.6,62.8,55.3,45.3,35.3
6300,58.4,60.1,60.8,59.1,56.7,56.4,56.2,57,59.2,59.1,59,63.4,65.7,63.1,64.3,59.5,52.1,42.1,32.1
8000,55.1,56.8,57.3,55.6,53.1,52.6,52.4,53.2,55.5,55.1,55,59.6,62.2,60,61,56.1,48.8,38.8,28.8
10000,51.7,53.4,53.6,51.8,49.2,48.7,48.5,49.1,51.5,50.9,50.9,55.6,58.4,56.9,57.6,52.5,45.2,35.2,25.2
12500,48.1,49.6,49.7,47.9,45.2,44.6,44.3,44.9,47.3,46.5,46.6,51.5,54.6,53.6,54.1,48.7,41.3,31.3,21.3
16000,44.2,45.7,45.6,43.7,40.9,40.3,40,40.5,42.8,41.9,42.3,47.2,50.6,50.2,50.5,44.8,37.2,27.2,17.2
20000,40,41.4,41.3,39.3,36.5,35.8,35.6,36,38.2,37.2,37.9,42.8,46.4,46.6,46.8,40.7,32.8,22.8,12.8
25000,35.4,36.8,36.7,34.7,31.9,31.2,31,31.3,33.3,32.4,33.5,38.3,42.2,42.9,42.9,36.4,28.1,18.1,8.1
