T-44,PT6A-34B,Idle (60 RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,77,70.7,69.6,73.6,73.3,73.9,70.8,73.7,70.8,69.7,68.6,69.4,68.9,69.3,67.9,69.8,68.8,66.4,57.2
250,74.7,68.5,67.4,71.3,71,71.6,68.6,71.5,68.5,67.5,66.4,67.2,66.7,67.2,65.8,67.7,66.7,64.3,55
315,72.3,66.3,65.2,68.9,68.7,69.4,66.5,69.3,66.3,65.3,64.2,65,64.5,65,63.7,65.6,64.6,62.2,52.7
400,69.9,64.1,62.9,66.5,66.3,67,64.3,67,63.9,63,62,62.8,62.3,62.8,61.5,63.5,62.4,60.1,50.5
500,67.3,61.8,60.6,64,63.8,64.6,62.1,64.7,61.6,60.7,59.7,60.5,60,60.6,59.4,61.3,60.2,57.9,48.2
630,64.7,59.5,58.2,61.4,61.2,62.1,59.8,62.3,59.1,58.3,57.3,58.2,57.7,58.4,57.2,59.2,58,55.8,45.9
800,62.1,57.2,55.7,58.8,58.6,59.6,57.5,59.9,56.6,55.9,54.9,55.8,55.3,56.1,55,57,55.8,53.6,43.5
1000,59.3,54.8,53.3,56.1,55.9,57,55.2,57.4,54.1,53.4,52.5,53.4,52.9,53.8,52.7,54.8,53.5,51.4,41.2
1250,56.6,52.4,50.7,53.3,53.2,54.4,52.8,54.9,51.5,50.9,50.1,51,50.5,51.5,50.5,52.6,51.2,49.1,38.8
1600,53.8,50.1,48.2,50.5,50.4,51.7,50.3,52.3,48.8,48.4,47.6,48.6,48.1,49.1,48.2,50.3,48.9,46.8,36.4
2000,51.1,47.7,45.6,47.8,47.6,48.9,47.8,49.7,46.1,45.8,45.1,46.1,45.7,46.8,45.9,48,46.6,44.5,33.9
2500,48.4,45.3,43.1,45.1,44.8,46.1,45.2,47,43.4,43.3,42.6,43.6,43.3,44.4,43.6,45.7,44.2,42.2,31.5
3150,45.7,42.9,40.5,42.4,42,43.3,42.5,44.3,40.7,40.7,40.1,41.2,40.8,42,41.2,43.3,41.8,39.8,29
4000,43.1,40.5,37.8,39.7,39.2,40.5,39.8,41.5,38,38.1,37.6,38.7,38.4,39.5,38.8,40.9,39.3,37.3,26.5
5000,40.5,37.9,35.1,37.1,36.4,37.5,36.9,38.6,35.2,35.4,35.1,36.2,35.9,37.1,36.4,38.4,36.8,34.8,23.9
6300,37.8,35.3,32.3,34.3,33.5,34.5,33.9,35.6,32.3,32.7,32.5,33.6,33.3,34.5,33.9,35.8,34.2,32.2,21.3
8000,34.9,32.5,29.4,31.5,30.6,31.4,30.8,32.4,29.4,30,29.7,31,30.7,31.8,31.2,33.1,31.5,29.5,18.5
10000,32,29.7,26.4,28.6,27.5,28.1,27.5,29.1,26.4,27.1,26.9,28.2,27.9,29.1,28.5,30.3,28.7,26.6,15.7
12500,28.9,26.6,23.2,25.5,24.4,24.7,24,25.6,23.3,24.1,23.9,25.3,25,26.1,25.6,27.2,25.7,23.6,12.7
16000,25.5,23.4,19.7,22.2,21,21,20.3,21.9,20,20.9,20.7,22.2,21.9,23,22.5,24,22.6,20.5,9.5
20000,21.9,19.9,16.1,18.6,17.5,17.2,16.4,18,16.4,17.4,17.3,18.9,18.6,19.6,19.1,20.4,19.1,17.1,6.2
25000,18.1,16.2,12.2,14.8,13.8,13.2,12.2,13.9,12.6,13.8,13.6,15.4,15,15.9,15.4,16.5,15.4,13.5,2.7
