T-44,PT6A-34B,90% torque (97% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,95.5,95.6,92.7,92.8,93.6,94.2,96.2,96.7,97.6,96.8,97.2,97.2,96.8,96.7,97.7,95.9,86.3,70.7,72.7
250,93.3,93.4,90.5,90.5,91.4,92,93.9,94.5,95.4,94.7,95.1,95.1,94.7,94.6,95.5,93.7,84.1,68.6,70.6
315,91.2,91.3,88.2,88.2,89,89.7,91.7,92.3,93.2,92.6,93,92.9,92.6,92.4,93.3,91.5,81.9,66.5,68.5
400,89,89.1,85.9,85.9,86.7,87.3,89.3,90,91,90.4,90.8,90.8,90.4,90.2,91.1,89.2,79.6,64.3,66.4
500,86.7,86.9,83.6,83.4,84.2,84.8,86.9,87.7,88.7,88.3,88.7,88.6,88.2,87.9,88.8,86.9,77.3,62.2,64.2
630,84.5,84.6,81.2,80.9,81.7,82.3,84.5,85.2,86.4,86.1,86.5,86.4,85.9,85.6,86.5,84.6,74.9,60,62.1
800,82.1,82.3,78.8,78.3,79.1,79.6,81.9,82.8,84,83.8,84.2,84.1,83.6,83.2,84,82.1,72.5,57.7,59.9
1000,79.8,79.9,76.3,75.7,76.4,76.8,79.2,80.2,81.6,81.6,82,81.8,81.2,80.7,81.5,79.6,69.9,55.4,57.6
1250,77.3,77.5,73.7,73,73.6,73.9,76.4,77.6,79.1,79.3,79.7,79.5,78.8,78.2,78.9,76.9,67.3,53,55.3
1600,74.8,75,71,70.2,70.7,70.9,73.5,74.9,76.5,77,77.4,77.1,76.3,75.5,76.2,74.1,64.6,50.6,53
2000,72.2,72.4,68.2,67.3,67.6,67.8,70.5,72.1,73.8,74.6,75,74.6,73.7,72.8,73.3,71.2,61.7,48.1,50.6
2500,69.5,69.7,65.4,64.4,64.5,64.6,67.4,69.2,71.1,72.3,72.6,72.2,71.1,70,70.3,68.2,58.8,45.4,48.2
3150,66.6,66.9,62.4,61.4,61.4,61.2,64.2,66.3,68.4,69.9,70.2,69.7,68.4,67.1,67.2,65,55.7,42.7,45.7
4000,63.7,63.9,59.4,58.3,58.1,57.8,60.9,63.5,65.7,67.4,67.7,67.1,65.7,64,63.9,61.7,52.4,39.9,43.1
5000,60.6,60.8,56.2,55.3,54.9,54.4,57.6,60.6,62.9,65,65.3,64.6,62.9,61,60.5,58.3,49.1,36.9,40.5
6300,57.3,57.5,53,52.1,51.6,51,54.4,57.8,60.2,62.4,62.7,62.1,60.2,57.9,57,54.8,45.7,33.8,37.9
8000,53.9,54,49.6,48.9,48.3,47.7,51.3,55,57.5,59.9,60.2,59.5,57.4,54.8,53.5,51.3,42.2,30.6,35.1
10000,50.2,50.4,46.2,45.6,44.9,44.4,48.3,52.2,54.7,57.2,57.5,56.9,54.7,51.8,50,47.9,38.7,27.2,32.3
12500,46.3,46.5,42.5,42.1,41.5,41.2,45.4,49.3,51.9,54.4,54.8,54.2,52,48.9,46.6,44.5,35.3,23.6,29.4
16000,42.2,42.3,38.7,38.5,37.8,37.8,42.3,46.3,48.9,51.5,52,51.4,49.1,46,43.3,41.1,31.9,19.8,26.4
20000,37.9,37.9,34.7,34.6,34,34.3,39.2,43.2,45.8,48.4,49,48.4,46.2,43,40,37.7,28.5,15.8,23.4
25000,33.2,33.1,30.3,30.4,29.8,30.6,35.8,39.9,42.4,45.1,45.8,45.3,43.1,39.9,36.6,34.3,25.1,11.7,20.3
