T-45,F405-RR-401,Military power (100% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,105.3,105.6,106.2,107.8,105.9,107.2,106.9,107.9,108.9,110.7,113.5,116.4,120.5,123.5,125.1,122.9,103.1,92.6,72.6
250,103.2,103.5,104.1,105.7,103.8,105,104.7,105.7,106.7,108.4,111.3,114.2,118.3,121.4,123,120.9,101.1,90.5,70.5
315,101.1,101.4,102,103.6,101.6,102.9,102.5,103.5,104.4,106.2,109,112,116.2,119.3,120.9,118.8,99,88.4,68.4
400,99,99.3,99.9,101.4,99.5,100.7,100.3,101.2,102.2,103.9,106.7,109.7,114,117.2,118.8,116.7,96.8,86.2,66.2
500,96.9,97.1,97.7,99.3,97.3,98.4,98.1,98.8,99.8,101.5,104.4,107.4,111.8,115,116.6,114.5,94.7,84,64
630,94.7,94.9,95.5,97,95,96.1,95.7,96.5,97.4,99,102,105.1,109.5,112.8,114.4,112.3,92.5,81.8,61.8
800,92.5,92.7,93.3,94.8,92.7,93.8,93.4,94,94.9,96.5,99.5,102.7,107.2,110.6,112.2,110.1,90.3,79.6,59.6
1000,90.3,90.4,91,92.5,90.4,91.4,90.9,91.4,92.4,93.9,97,100.2,104.9,108.3,110,107.9,88.1,77.3,57.3
1250,88,88.1,88.7,90.1,88,88.9,88.4,88.8,89.7,91.2,94.4,97.7,102.5,106,107.7,105.6,85.8,74.9,54.9
1600,85.6,85.6,86.3,87.6,85.5,86.3,85.8,86,87,88.4,91.6,95,100,103.6,105.3,103.2,83.5,72.6,52.6
2000,83.1,83.1,83.7,85,82.9,83.7,83,83.2,84.1,85.4,88.8,92.3,97.4,101.2,102.9,100.8,81.1,70.1,50.1
2500,80.5,80.5,81.1,82.3,80.1,80.9,80.2,80.2,81.1,82.4,85.9,89.5,94.8,98.7,100.4,98.3,78.7,67.7,47.7
3150,77.8,77.7,78.4,79.4,77.3,77.9,77.2,77.1,78,79.2,82.9,86.6,92.1,96,97.8,95.7,76.1,65.1,45.1
4000,74.9,74.7,75.4,76.4,74.2,74.8,74.1,73.9,74.7,76,79.7,83.6,89.2,93.3,95.1,93,73.5,62.4,42.4
5000,71.8,71.6,72.3,73.1,71,71.4,70.8,70.5,71.4,72.6,76.5,80.4,86.2,90.4,92.2,90.1,70.8,59.7,39.7
6300,68.5,68.2,68.9,69.6,67.5,67.8,67.2,66.9,67.9,69.1,73.1,77.1,83.1,87.4,89.2,87.1,68,56.9,36.9
8000,64.9,64.5,65.3,65.8,63.7,64,63.4,63.2,64.3,65.5,69.6,73.7,79.8,84.2,86.1,83.9,65.1,53.9,33.9
10000,60.9,60.5,61.3,61.6,59.7,59.8,59.4,59.3,60.5,61.7,65.9,70,76.3,80.8,82.7,80.6,62,50.8,30.8
12500,56.6,56.1,57,57.1,55.4,55.4,55.2,55.3,56.6,57.7,61.9,66.2,72.6,77.2,79.1,77,58.8,47.5,27.5
16000,51.9,51.3,52.3,52.2,50.8,50.7,50.7,51,52.4,53.5,57.8,62.1,68.7,73.3,75.3,73.2,55.4,44.1,24.1
20000,46.8,46.3,47.2,47.1,46,45.9,46,46.5,48,49,53.3,57.7,64.6,69.1,71.2,69.2,51.9,40.5,20.5
25000,41.5,41,41.9,41.6,41.1,40.9,41.2,41.7,43.3,44.3,48.6,53,60.2,64.7,66.8,64.9,48.1,36.7,16.7
