T-45,F405-RR-401,Engine runup (70% RPM),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,86.3,87.1,86.8,87.2,86.1,85,83.3,81.8,80.3,81.2,83.3,85.4,85.9,84.7,84.1,82.3,78,71.3,51.3
250,83.9,84.7,84.4,84.8,83.7,82.6,81,79.5,78.1,79,81.1,83.2,83.7,82.5,82,80.2,75.9,69.1,49.1
315,81.5,82.2,81.9,82.3,81.2,80.1,78.5,77.2,75.8,76.7,78.8,80.9,81.4,80.3,79.8,78.1,73.7,66.9,46.9
400,78.9,79.6,79.3,79.7,78.7,77.6,76.1,74.7,73.5,74.4,76.4,78.5,79.1,78.1,77.7,76,71.5,64.7,44.7
500,76.3,77,76.6,77.1,76.1,75,73.5,72.3,71.1,72,74.1,76.1,76.8,75.8,75.5,73.9,69.3,62.5,42.5
630,73.5,74.2,73.9,74.3,73.4,72.3,70.9,69.7,68.7,69.6,71.6,73.7,74.4,73.5,73.2,71.7,67,60.3,40.3
800,70.7,71.4,71,71.4,70.6,69.5,68.2,67.1,66.2,67.1,69.1,71.2,72,71.2,71,69.6,64.8,58,38
1000,67.7,68.5,68.1,68.5,67.7,66.6,65.4,64.4,63.7,64.6,66.6,68.7,69.5,68.8,68.7,67.4,62.5,55.8,35.8
1250,64.7,65.5,65.1,65.3,64.7,63.7,62.5,61.7,61.2,62,64.1,66.1,67,66.4,66.4,65.3,60.2,53.5,33.5
1600,61.7,62.4,62,62.1,61.6,60.7,59.6,58.9,58.6,59.4,61.4,63.5,64.4,64,64.1,63.1,57.9,51.2,31.2
2000,58.5,59.2,58.8,58.8,58.4,57.6,56.6,56.1,55.9,56.7,58.7,60.8,61.8,61.5,61.8,60.8,55.6,48.8,28.8
2500,55.2,56,55.6,55.4,55.2,54.5,53.6,53.2,53.2,54,56,58,59.1,59,59.4,58.6,53.2,46.5,26.5
3150,51.9,52.6,52.4,52,52,51.4,50.5,50.2,50.4,51.2,53.2,55.2,56.3,56.4,56.9,56.3,50.8,44.1,24.1
4000,48.4,49.1,49,48.5,48.7,48.2,47.3,47.1,47.5,48.2,50.2,52.3,53.4,53.7,54.3,53.9,48.4,41.6,21.6
5000,44.7,45.4,45.5,44.9,45.4,45,44,44,44.6,45.2,47.2,49.2,50.4,50.9,51.7,51.5,45.9,39.1,19.1
6300,40.9,41.6,42,41.4,42.1,41.7,40.7,40.8,41.5,42.1,44,46,47.3,48,48.9,49,43.3,36.6,16.6
8000,37,37.7,38.3,37.8,38.7,38.3,37.3,37.5,38.2,38.8,40.7,42.7,44,44.9,46.1,46.4,40.7,33.9,13.9
10000,33,33.7,34.6,34.2,35.2,34.9,33.8,34.1,34.9,35.4,37.3,39.2,40.5,41.6,43.1,43.7,37.9,31.2,11.2
12500,29,29.7,30.9,30.5,31.7,31.5,30.2,30.6,31.3,31.8,33.6,35.5,36.9,38.2,39.9,40.9,35.1,28.3,8.3
16000,25,25.8,27,26.7,28,27.9,26.5,26.8,27.6,28,29.8,31.6,33.1,34.6,36.6,38,32.1,25.3,5.3
20000,21,21.7,23,22.8,24.2,24.2,22.7,22.9,23.7,24,25.8,27.6,29.2,30.9,33.2,34.8,28.9,22.2,2.2
25000,16.9,17.6,18.9,18.8,20.2,20.3,18.7,18.9,19.6,19.9,21.7,23.5,25.1,27,29.5,31.5,25.6,18.8,-1.2
