T-6,PT6A-68,Idle (60% N1),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,79.2,84.9,77.8,90.2,92.7,87.5,89.3,81.6,83.9,80.8,80.5,78.9,77.4,81.1,75.1,79.7,75.6,68.7,72.2
250,77.1,82.4,75.4,87.5,90.1,84.7,86.7,79.2,81.6,78.4,78.1,76.6,75,78.9,72.8,77.5,73.3,66.5,70.1
315,74.9,79.8,72.9,84.6,87.3,81.8,84,76.6,79.3,75.9,75.5,74.2,72.5,76.6,70.4,75.3,70.9,64.2,68
400,72.8,77,70.2,81.4,84.4,78.8,81.1,73.9,77,73.3,72.9,71.8,69.9,74.4,67.9,73,68.5,61.9,65.9
500,70.6,74.1,67.5,78.1,81.2,75.4,78,71,74.6,70.7,70.1,69.4,67.3,72.1,65.4,70.6,66,59.6,63.7
630,68.4,71.1,64.8,74.4,77.7,71.8,74.6,68.1,72.2,68,67.2,66.9,64.6,69.8,62.9,68.3,63.5,57.2,61.6
800,66.3,67.9,61.9,70.4,74,68,71.1,65,69.8,65.2,64.3,64.5,61.8,67.4,60.4,66,61,54.9,59.4
1000,64.1,64.7,59,66,69.9,64,67.4,61.7,67.5,62.5,61.4,62,59.1,65.1,57.8,63.6,58.4,52.6,57.3
1250,61.9,61.5,56.1,61.4,65.5,59.8,63.5,58.5,65.1,59.9,58.5,59.6,56.4,62.8,55.3,61.3,55.9,50.4,55.1
1600,59.8,58.4,53.3,56.6,60.7,55.9,59.6,55.3,62.8,57.3,55.7,57.3,53.8,60.5,52.7,58.9,53.4,48.1,52.9
2000,57.6,55.6,50.5,51.9,55.6,52.2,55.9,52.3,60.5,54.8,53.1,54.9,51.3,58.2,50.2,56.6,50.9,45.9,50.7
2500,55.4,52.9,47.8,47.8,50.5,49.1,52.5,49.4,58.1,52.4,50.6,52.6,48.9,55.8,47.7,54.2,48.4,43.6,48.5
3150,53.1,50.3,45.1,44.4,45.9,46.2,49.6,46.6,55.8,49.9,48.1,50.2,46.5,53.4,45.2,51.8,45.8,41.3,46.2
4000,50.8,47.7,42.5,41.2,42,43.5,46.8,43.8,53.3,47.4,45.7,47.8,44.1,51,42.6,49.3,43.2,39,43.9
5000,48.5,45.1,39.7,38.2,38.6,40.8,44.2,41,50.8,44.8,43.2,45.3,41.7,48.4,40,46.7,40.5,36.6,41.4
6300,46.1,42.5,36.9,35.1,35.2,38,41.5,38.1,48.3,42.1,40.7,42.7,39.1,45.8,37.2,44,37.6,34.2,38.9
8000,43.6,39.7,34,31.9,31.8,35.1,38.7,35,45.6,39.3,38,40,36.5,43,34.3,41.2,34.7,31.6,36.3
10000,41,36.8,30.9,28.5,28.3,32,35.8,31.9,42.8,36.4,35.3,37.2,33.8,40.2,31.4,38.4,31.6,29,33.6
12500,38.3,33.9,27.8,25.1,24.7,28.8,32.8,28.6,39.8,33.4,32.4,34.3,30.9,37.2,28.3,35.3,28.5,26.2,30.7
16000,35.4,30.7,24.5,21.4,20.9,25.5,29.6,25.1,36.8,30.2,29.3,31.2,28,34,25.1,32.1,25.2,23.3,27.8
20000,32.5,27.5,21.1,17.7,17,22,26.3,21.5,33.5,26.9,26.1,27.9,24.8,30.7,21.7,28.8,21.7,20.2,24.6
25000,29.4,24.1,17.6,13.8,13,18.4,22.9,17.8,30.2,23.4,22.6,24.5,21.5,27.1,18.2,25.2,18.1,16.9,21.4
