T-6,PT6A-68,95% torque (98% N1),,,,,,,,,,,,,,,,,
   (ft),0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180
200,99.8,99.5,95.9,95.9,97.1,98.9,99.2,100.6,100.7,100.6,100.6,100.5,100.6,99.6,100.1,97,79.8,73.3,71.6
250,97.7,97.4,93.7,93.7,94.9,96.7,97,98.4,98.6,98.5,98.5,98.4,98.5,97.4,97.9,94.8,77.6,71.2,69.5
315,95.5,95.2,91.5,91.4,92.6,94.4,94.7,96.2,96.4,96.4,96.3,96.3,96.3,95.2,95.7,92.6,75.5,69.1,67.4
400,93.4,93.1,89.2,89,90.3,92.1,92.4,94,94.2,94.2,94.2,94.1,94.1,93,93.5,90.4,73.3,66.9,65.3
500,91.1,90.8,86.9,86.6,87.8,89.7,90,91.7,92,92.1,92,91.9,91.9,90.7,91.2,88.1,71.1,64.7,63.1
630,88.9,88.6,84.6,84.2,85.4,87.2,87.5,89.3,89.7,89.9,89.8,89.6,89.6,88.3,88.8,85.7,68.9,62.4,61
800,86.6,86.2,82.2,81.6,82.8,84.6,85,86.9,87.4,87.6,87.5,87.3,87.2,85.9,86.4,83.2,66.6,60.1,58.8
1000,84.2,83.9,79.7,79,80.1,82,82.4,84.5,85.1,85.4,85.2,85,84.8,83.4,83.9,80.7,64.2,57.7,56.5
1250,81.8,81.4,77.2,76.3,77.3,79.2,79.6,81.9,82.6,83,82.9,82.6,82.3,80.8,81.2,78.1,61.8,55.2,54.2
1600,79.3,78.9,74.6,73.6,74.5,76.2,76.8,79.3,80.1,80.7,80.5,80.1,79.7,78.1,78.5,75.3,59.3,52.6,51.8
2000,76.8,76.3,71.9,70.7,71.5,73.2,73.9,76.6,77.6,78.3,78.1,77.6,77.1,75.3,75.7,72.4,56.8,49.9,49.4
2500,74.1,73.6,69.1,67.8,68.4,70,70.9,73.9,75,75.8,75.6,75,74.3,72.4,72.7,69.5,54.2,47.1,47
3150,71.3,70.8,66.2,64.9,65.3,66.7,67.9,71.1,72.4,73.4,73.1,72.4,71.4,69.5,69.6,66.3,51.5,44.1,44.5
4000,68.4,67.8,63.3,61.8,62.1,63.3,64.9,68.3,69.7,70.9,70.6,69.8,68.5,66.4,66.5,63.1,48.7,41,41.9
5000,65.3,64.7,60.2,58.8,58.8,59.9,61.8,65.5,67.1,68.3,68,67.1,65.5,63.2,63.2,59.9,45.9,37.7,39.2
6300,62.1,61.5,57,55.6,55.5,56.5,58.9,62.7,64.4,65.7,65.5,64.4,62.6,60.1,59.9,56.6,43,34.2,36.6
8000,58.7,58,53.7,52.4,52.2,53.2,56,59.9,61.7,63.1,62.9,61.8,59.6,57,56.6,53.3,40.1,30.6,33.8
10000,55.1,54.4,50.3,49.1,48.9,49.9,53.2,57.1,58.9,60.4,60.2,59.1,56.7,53.9,53.3,50.1,37.2,26.9,31.1
12500,51.3,50.5,46.7,45.7,45.4,46.8,50.3,54.2,56.1,57.7,57.5,56.3,53.8,50.9,50,46.9,34.3,23,28.3
16000,47.2,46.4,43,42.1,41.8,43.6,47.4,51.2,53.1,54.8,54.6,53.5,50.9,47.8,46.6,43.7,31.2,19.1,25.4
20000,42.9,42,39,38.3,38,40.3,44.3,48.1,50,51.8,51.6,50.5,47.8,44.7,43.2,40.4,28.1,15.1,22.5
25000,38.2,37.2,34.7,34.3,33.9,36.9,41.1,44.7,46.6,48.5,48.4,47.3,44.7,41.4,39.6,36.9,24.8,10.9,19.5
